layer	role	valid_bytes	bundle_sha256
3	Key	17686528	0590770ecbb82b6a049a67b078310528ef4b70efe7025ee476ae735f46b7e050
3	Value	12484608	94286c0ee0c8351809655c30fdbb9ecab7c2287082c2ad0b35affb02e32303cb
7	Key	17686528	c7122caddecff1df5760258f8f3206ed0c7b0d745271c8b125a26c73ba39f4ee
7	Value	12484608	4ff433253b1de46fbddcd23ba38914a20e4975101456f24581e5a227e19fff98
11	Key	17686528	5e520bf96d5666f246272f417445f7291177eeec8d4d810c6c58a3e0d70b86a6
11	Value	12484608	8bbd5b04e4e2c64b680ec629703855a10b9e4d23d875518b8c803727c9aad34f
15	Key	17686528	f34931f7e626a7380ded7f5e317766170dfe6a625ba934eaaf7956579a94d7c4
15	Value	12484608	6090f32db46e75495840e7e4a9e7a786497edbf9e858b7d3a77d42f145ffd7a9
19	Key	17686528	e52f8c98a816b1d9e8b35eb8be963d160ac35fbaf5c21476a1747936d75eedf4
19	Value	12484608	48090885d99a4e14e03bd1e5653cd957697fba2bd3bdaa6367a37df8c24f684f
23	Key	17686528	ab2cb6b339b312919cadf8add37c900522835a82d0e58b21b1bbd2f65bc42395
23	Value	12484608	603b62aa94ee896bd93757bda9efdaefb6d27657536004d07cbc3bc6c01ce296
27	Key	17686528	48f806477d792046781f77d6c338ce361dd00b6742afd85f786b47909c61ba0f
27	Value	12484608	e7bb189ad9919cec3784d134bd0084e09ab87591dcbcd896f4f7c3b54a8ede1f
31	Key	17686528	22049fd84b5a289b6ac9b75ff3f9cb0ec65cf6e31e2da2ad332a7d17f291ce87
31	Value	12484608	ebe3d3eeb2d10a873c898ed1b2eb95394b86bf2652e2c9103a0ce4f8c4c35731
35	Key	17686528	26a56eee837dca669a53c2ec4e6f802c65b4a38f40be9ebeefa3483640059960
35	Value	12484608	e378dce7c6b2bba53e1c701bf43ded55777c836fafdd57e3559afbead67ed2ff
39	Key	17686528	ce06552697ec8cbad11d91a52b808bcff0cca0029a6cb68bcd14359299070e21
39	Value	12484608	ebd52a50a784f59a8810a56cfc4ebba5f9125ddbf0db3adb7f33e0a60d0cbfe3
43	Key	17686528	4b7b89ba7fb6b521ea4087c366702949b21651ca25b0642862fe6370991171b8
43	Value	12484608	0a9a998ad94ced49d05a7b129abab1c63aee3ee800633a8adf261840d969cf63
47	Key	17686528	7bb39680272316b84666b686d17cbd7a83864d9b151f3a19213213e559218543
47	Value	12484608	1f35419c3c17e1e8886d0395bd6d37829ffb7ae7f4237075c0aa2eaca93fa869
51	Key	17686528	04d4d52b262f8d769f365d026b74d41a266c87d80ed1ad1875f2036b59013fea
51	Value	12484608	b15f60b5235c626f873ad42f04265e94a89a5fad657976aaaef48d72b6194a05
55	Key	17686528	cba34ee0b017dfb6ae38cd2fc037d689d8c9571eb8e32e5436ed5f55ea0f76d1
55	Value	12484608	f7a23ea8e94db52d84b45039f9157f1e4aec63298cd7d8f327420587a8c3c153
59	Key	17686528	e9ae78ba9ee6c44d5c54f183468a77b687e8023257f79320c414aac4257c8d05
59	Value	12484608	46e85d8d1c256d2f7ec3e593fcedf8d75bca5e9137d25092e0a9e1d4848ca493
63	Key	17686528	32228b8f80441a1210c754ea514fe33cdfe7353e12023ce1dd454831c02841d9
63	Value	12484608	af51e782c01dfce05461d35632d3d03514e0d7edf0d35142fa5ada27c083438e
