timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 00:31:20.780, 0, P0, 1590 MHz, 14001 MHz, 31.72 W, [N/A], 175.00 W, 61, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:21.034, 0, P0, 1590 MHz, 14001 MHz, 31.72 W, [N/A], 175.00 W, 61, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:21.285, 0, P0, 1590 MHz, 14001 MHz, 31.72 W, [N/A], 175.00 W, 61, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:21.536, 0, P0, 1590 MHz, 14001 MHz, 31.04 W, [N/A], 175.00 W, 61, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:21.787, 0, P0, 1590 MHz, 14001 MHz, 31.04 W, [N/A], 175.00 W, 61, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:22.038, 0, P0, 1102 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:22.289, 0, P0, 1102 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:22.540, 0, P4, 180 MHz, 9001 MHz, 25.84 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:22.791, 0, P4, 180 MHz, 9001 MHz, 25.84 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:23.042, 0, P4, 180 MHz, 9001 MHz, 21.08 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:23.293, 0, P4, 180 MHz, 9001 MHz, 21.08 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:23.544, 0, P4, 180 MHz, 9001 MHz, 18.22 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:23.795, 0, P4, 180 MHz, 9001 MHz, 18.22 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:24.046, 0, P4, 180 MHz, 9001 MHz, 18.24 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:24.298, 0, P4, 180 MHz, 9001 MHz, 18.24 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 5, 8
2026/09/21 00:31:24.549, 0, P5, 180 MHz, 9001 MHz, 18.25 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 2, 8
2026/09/21 00:31:24.805, 0, P5, 180 MHz, 9001 MHz, 18.25 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 2, 8
2026/09/21 00:31:25.056, 0, P5, 180 MHz, 9001 MHz, 18.25 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 2, 8
2026/09/21 00:31:25.307, 0, P5, 180 MHz, 9001 MHz, 18.25 W, [N/A], 175.00 W, 60, 15 MiB, 0 %, 2, 8
2026/09/21 00:31:25.576, 0, P5, 180 MHz, 810 MHz, 15.41 W, [N/A], 175.00 W, 59, 313 MiB, 0 %, 2, 8
2026/09/21 00:31:25.827, 0, P5, 180 MHz, 810 MHz, 15.41 W, [N/A], 175.00 W, 59, 1177 MiB, 0 %, 2, 8
2026/09/21 00:31:26.078, 0, P0, 1605 MHz, 14001 MHz, 18.76 W, [N/A], 175.00 W, 60, 1785 MiB, 0 %, 5, 8
2026/09/21 00:31:26.329, 0, P0, 1605 MHz, 14001 MHz, 18.76 W, [N/A], 175.00 W, 60, 2489 MiB, 0 %, 5, 8
2026/09/21 00:31:26.580, 0, P0, 1597 MHz, 14001 MHz, 25.28 W, [N/A], 175.00 W, 60, 3193 MiB, 11 %, 5, 8
