timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 14:46:08.417, 0, P0, 1027 MHz, 14001 MHz, 29.45 W, [N/A], 175.00 W, 54, 15 MiB, 5 %, 5, 8
2026/09/21 14:46:08.672, 0, P0, 1027 MHz, 14001 MHz, 29.45 W, [N/A], 175.00 W, 54, 32 MiB, 5 %, 5, 8
2026/09/21 14:46:08.960, 0, P0, 1027 MHz, 14001 MHz, 29.45 W, [N/A], 175.00 W, 54, 313 MiB, 5 %, 5, 8
2026/09/21 14:46:09.211, 0, P0, 1590 MHz, 14001 MHz, 30.25 W, [N/A], 175.00 W, 54, 313 MiB, 0 %, 5, 8
2026/09/21 14:46:09.462, 0, P0, 1590 MHz, 14001 MHz, 30.25 W, [N/A], 175.00 W, 54, 1177 MiB, 0 %, 5, 8
2026/09/21 14:46:09.713, 0, P0, 1590 MHz, 14001 MHz, 30.21 W, [N/A], 175.00 W, 54, 1529 MiB, 6 %, 5, 8
2026/09/21 14:46:09.964, 0, P0, 1590 MHz, 14001 MHz, 30.21 W, [N/A], 175.00 W, 54, 2105 MiB, 6 %, 5, 8
2026/09/21 14:46:10.215, 0, P0, 1597 MHz, 14001 MHz, 29.62 W, [N/A], 175.00 W, 54, 2649 MiB, 9 %, 5, 8
2026/09/21 14:46:10.466, 0, P0, 1597 MHz, 14001 MHz, 29.62 W, [N/A], 175.00 W, 54, 3193 MiB, 9 %, 5, 8
2026/09/21 14:46:10.717, 0, P0, 1605 MHz, 14001 MHz, 29.00 W, [N/A], 175.00 W, 54, 3769 MiB, 8 %, 5, 8
2026/09/21 14:46:10.968, 0, P0, 1605 MHz, 14001 MHz, 29.00 W, [N/A], 175.00 W, 54, 4345 MiB, 8 %, 5, 8
2026/09/21 14:46:11.219, 0, P0, 1597 MHz, 14001 MHz, 28.60 W, [N/A], 175.00 W, 54, 4985 MiB, 10 %, 5, 8
2026/09/21 14:46:11.470, 0, P0, 1597 MHz, 14001 MHz, 28.60 W, [N/A], 175.00 W, 54, 5561 MiB, 10 %, 5, 8
2026/09/21 14:46:11.721, 0, P0, 1597 MHz, 14001 MHz, 28.66 W, [N/A], 175.00 W, 54, 6169 MiB, 10 %, 5, 8
2026/09/21 14:46:11.972, 0, P0, 1597 MHz, 14001 MHz, 28.66 W, [N/A], 175.00 W, 54, 6745 MiB, 10 %, 5, 8
2026/09/21 14:46:12.223, 0, P0, 1597 MHz, 14001 MHz, 28.71 W, [N/A], 175.00 W, 54, 7353 MiB, 10 %, 5, 8
2026/09/21 14:46:12.474, 0, P0, 1597 MHz, 14001 MHz, 28.71 W, [N/A], 175.00 W, 54, 7897 MiB, 10 %, 5, 8
2026/09/21 14:46:12.725, 0, P0, 1597 MHz, 14001 MHz, 28.72 W, [N/A], 175.00 W, 54, 8473 MiB, 10 %, 5, 8
2026/09/21 14:46:12.976, 0, P0, 1597 MHz, 14001 MHz, 28.72 W, [N/A], 175.00 W, 54, 9081 MiB, 10 %, 5, 8
2026/09/21 14:46:13.227, 0, P0, 1590 MHz, 14001 MHz, 28.72 W, [N/A], 175.00 W, 54, 9753 MiB, 10 %, 5, 8
2026/09/21 14:46:13.479, 0, P0, 1590 MHz, 14001 MHz, 28.72 W, [N/A], 175.00 W, 54, 10393 MiB, 10 %, 5, 8
2026/09/21 14:46:13.730, 0, P0, 1590 MHz, 14001 MHz, 28.71 W, [N/A], 175.00 W, 54, 11001 MiB, 10 %, 5, 8
2026/09/21 14:46:13.981, 0, P0, 1590 MHz, 14001 MHz, 28.71 W, [N/A], 175.00 W, 54, 11577 MiB, 10 %, 5, 8
2026/09/21 14:46:14.232, 0, P0, 1590 MHz, 14001 MHz, 28.67 W, [N/A], 175.00 W, 54, 12313 MiB, 10 %, 5, 8
2026/09/21 14:46:14.483, 0, P0, 1590 MHz, 14001 MHz, 28.67 W, [N/A], 175.00 W, 54, 12953 MiB, 10 %, 5, 8
2026/09/21 14:46:14.734, 0, P0, 1597 MHz, 14001 MHz, 28.78 W, [N/A], 175.00 W, 54, 13721 MiB, 11 %, 5, 8
2026/09/21 14:46:14.985, 0, P0, 1597 MHz, 14001 MHz, 28.78 W, [N/A], 175.00 W, 54, 14425 MiB, 11 %, 5, 8
2026/09/21 14:46:15.236, 0, P0, 1597 MHz, 14001 MHz, 28.81 W, [N/A], 175.00 W, 54, 14457 MiB, 0 %, 5, 8
2026/09/21 14:46:15.487, 0, P0, 1597 MHz, 14001 MHz, 28.81 W, [N/A], 175.00 W, 54, 14457 MiB, 0 %, 5, 8
2026/09/21 14:46:15.738, 0, P0, 1590 MHz, 14001 MHz, 28.36 W, [N/A], 175.00 W, 54, 14457 MiB, 0 %, 5, 8
2026/09/21 14:46:15.989, 0, P0, 1590 MHz, 14001 MHz, 28.36 W, [N/A], 175.00 W, 54, 14457 MiB, 0 %, 5, 8
