timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 14:53:28.378, 0, P0, 1582 MHz, 14001 MHz, 32.59 W, [N/A], 175.00 W, 67, 15 MiB, 0 %, 5, 8
2026/09/21 14:53:28.633, 0, P0, 1582 MHz, 14001 MHz, 32.59 W, [N/A], 175.00 W, 67, 30 MiB, 0 %, 5, 8
2026/09/21 14:53:28.885, 0, P0, 1582 MHz, 14001 MHz, 32.59 W, [N/A], 175.00 W, 67, 313 MiB, 0 %, 5, 8
2026/09/21 14:53:29.136, 0, P0, 1582 MHz, 14001 MHz, 30.75 W, [N/A], 175.00 W, 67, 1177 MiB, 0 %, 5, 8
2026/09/21 14:53:29.387, 0, P0, 1582 MHz, 14001 MHz, 30.75 W, [N/A], 175.00 W, 67, 1785 MiB, 0 %, 5, 8
2026/09/21 14:53:29.638, 0, P0, 1590 MHz, 14001 MHz, 31.26 W, [N/A], 175.00 W, 67, 2489 MiB, 12 %, 5, 8
2026/09/21 14:53:29.889, 0, P0, 1590 MHz, 14001 MHz, 31.26 W, [N/A], 175.00 W, 67, 3097 MiB, 12 %, 5, 8
2026/09/21 14:53:30.140, 0, P0, 1590 MHz, 14001 MHz, 30.91 W, [N/A], 175.00 W, 66, 3769 MiB, 10 %, 5, 8
2026/09/21 14:53:30.391, 0, P0, 1590 MHz, 14001 MHz, 30.91 W, [N/A], 175.00 W, 66, 4441 MiB, 10 %, 5, 8
2026/09/21 14:53:30.642, 0, P0, 1597 MHz, 14001 MHz, 30.82 W, [N/A], 175.00 W, 66, 5113 MiB, 10 %, 5, 8
2026/09/21 14:53:30.894, 0, P0, 1597 MHz, 14001 MHz, 30.82 W, [N/A], 175.00 W, 66, 5785 MiB, 10 %, 5, 8
