timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 15:34:28.573, 0, P0, 1582 MHz, 14001 MHz, 32.47 W, [N/A], 175.00 W, 67, 15 MiB, 0 %, 5, 8
2026/09/21 15:34:28.828, 0, P0, 1582 MHz, 14001 MHz, 32.47 W, [N/A], 175.00 W, 67, 18 MiB, 0 %, 5, 8
2026/09/21 15:34:29.082, 0, P0, 1635 MHz, 14001 MHz, 32.72 W, [N/A], 175.00 W, 67, 313 MiB, 0 %, 5, 8
2026/09/21 15:34:29.333, 0, P0, 1635 MHz, 14001 MHz, 32.72 W, [N/A], 175.00 W, 67, 1177 MiB, 0 %, 5, 8
2026/09/21 15:34:29.584, 0, P0, 1582 MHz, 14001 MHz, 30.85 W, [N/A], 175.00 W, 67, 1785 MiB, 34 %, 5, 8
2026/09/21 15:34:29.835, 0, P0, 1582 MHz, 14001 MHz, 30.85 W, [N/A], 175.00 W, 67, 2489 MiB, 34 %, 5, 8
2026/09/21 15:34:30.086, 0, P0, 1590 MHz, 14001 MHz, 30.86 W, [N/A], 175.00 W, 67, 3161 MiB, 12 %, 5, 8
2026/09/21 15:34:30.337, 0, P0, 1590 MHz, 14001 MHz, 30.86 W, [N/A], 175.00 W, 67, 3897 MiB, 12 %, 5, 8
2026/09/21 15:34:30.588, 0, P0, 1597 MHz, 14001 MHz, 30.64 W, [N/A], 175.00 W, 66, 4537 MiB, 10 %, 5, 8
2026/09/21 15:34:30.839, 0, P0, 1597 MHz, 14001 MHz, 30.64 W, [N/A], 175.00 W, 66, 5209 MiB, 10 %, 5, 8
2026/09/21 15:34:31.090, 0, P0, 1597 MHz, 14001 MHz, 30.68 W, [N/A], 175.00 W, 66, 5913 MiB, 10 %, 5, 8
2026/09/21 15:34:31.341, 0, P0, 1597 MHz, 14001 MHz, 30.68 W, [N/A], 175.00 W, 66, 6585 MiB, 10 %, 5, 8
2026/09/21 15:34:31.593, 0, P0, 1597 MHz, 14001 MHz, 30.65 W, [N/A], 175.00 W, 66, 7257 MiB, 11 %, 5, 8
2026/09/21 15:34:31.844, 0, P0, 1597 MHz, 14001 MHz, 30.65 W, [N/A], 175.00 W, 66, 7929 MiB, 11 %, 5, 8
