timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/23 11:43:15.613, 0, P0, 1590 MHz, 14001 MHz, 31.39 W, [N/A], 175.00 W, 64, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:15.867, 0, P0, 1590 MHz, 14001 MHz, 31.39 W, [N/A], 175.00 W, 64, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:16.118, 0, P0, 1590 MHz, 14001 MHz, 31.39 W, [N/A], 175.00 W, 64, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:16.369, 0, P0, 1590 MHz, 14001 MHz, 31.07 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:16.620, 0, P0, 1590 MHz, 14001 MHz, 31.07 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:16.871, 0, P0, 1597 MHz, 14001 MHz, 30.19 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:17.122, 0, P0, 1597 MHz, 14001 MHz, 30.19 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:17.373, 0, P0, 1590 MHz, 14001 MHz, 29.66 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:17.624, 0, P0, 1590 MHz, 14001 MHz, 29.66 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:17.874, 0, P0, 1597 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:18.125, 0, P0, 1597 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:18.376, 0, P0, 1597 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:18.627, 0, P0, 1597 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:18.878, 0, P0, 1590 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:19.129, 0, P0, 1590 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:19.380, 0, P0, 1597 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:19.631, 0, P0, 1597 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:19.882, 0, P0, 1597 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:20.133, 0, P0, 1597 MHz, 14001 MHz, 29.65 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:20.384, 0, P0, 1597 MHz, 14001 MHz, 29.64 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:20.635, 0, P0, 1597 MHz, 14001 MHz, 29.64 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:20.885, 0, P0, 1597 MHz, 14001 MHz, 29.57 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:21.136, 0, P0, 1597 MHz, 14001 MHz, 29.57 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:21.387, 0, P0, 1597 MHz, 14001 MHz, 29.55 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:21.638, 0, P0, 1597 MHz, 14001 MHz, 29.55 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:21.889, 0, P0, 1597 MHz, 14001 MHz, 29.57 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:22.140, 0, P0, 1597 MHz, 14001 MHz, 29.57 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:22.391, 0, P0, 1597 MHz, 14001 MHz, 29.61 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:22.642, 0, P0, 1597 MHz, 14001 MHz, 29.61 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:22.893, 0, P0, 1590 MHz, 14001 MHz, 29.57 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:23.144, 0, P0, 1590 MHz, 14001 MHz, 29.57 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:23.395, 0, P0, 1597 MHz, 14001 MHz, 29.56 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:23.645, 0, P0, 1597 MHz, 14001 MHz, 29.56 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:23.896, 0, P0, 1597 MHz, 14001 MHz, 29.58 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:24.147, 0, P0, 1597 MHz, 14001 MHz, 29.58 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/23 11:43:24.398, 0, P0, 1590 MHz, 14001 MHz, 29.58 W, [N/A], 175.00 W, 63, 32 MiB, 0 %, 5, 8
2026/09/23 11:43:24.650, 0, P0, 1590 MHz, 14001 MHz, 29.58 W, [N/A], 175.00 W, 63, 313 MiB, 0 %, 5, 8
2026/09/23 11:43:24.901, 0, P0, 1590 MHz, 14001 MHz, 30.37 W, [N/A], 175.00 W, 63, 1465 MiB, 0 %, 5, 8
2026/09/23 11:43:25.152, 0, P0, 1590 MHz, 14001 MHz, 30.37 W, [N/A], 175.00 W, 63, 2777 MiB, 0 %, 5, 8
2026/09/23 11:43:25.403, 0, P0, 1620 MHz, 14001 MHz, 31.69 W, [N/A], 175.00 W, 63, 3801 MiB, 21 %, 5, 8
2026/09/23 11:43:25.654, 0, P0, 1620 MHz, 14001 MHz, 31.69 W, [N/A], 175.00 W, 63, 4377 MiB, 21 %, 5, 8
2026/09/23 11:43:25.905, 0, P0, 1620 MHz, 14001 MHz, 31.68 W, [N/A], 175.00 W, 63, 6585 MiB, 14 %, 5, 8
2026/09/23 11:43:26.156, 0, P0, 1620 MHz, 14001 MHz, 31.68 W, [N/A], 175.00 W, 63, 9721 MiB, 14 %, 5, 8
2026/09/23 11:43:26.407, 0, P0, 1777 MHz, 14001 MHz, 56.46 W, [N/A], 175.00 W, 73, 9721 MiB, 100 %, 5, 8
