epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790173993117,8377,0,0,0,0,0,0
1790173993367,8377,0,0,0,0,0,0
1790173993617,8377,0,0,0,0,0,0
1790173993867,8377,0,0,0,0,0,0
1790173994117,8441,0,0,0,0,0,0
1790173994367,8697,16029908992,8541290852,8791261184,0,0,0
1790173994617,8697,16029908992,8541290852,8791261184,0,0,0
1790173994867,8697,16029908992,8541290852,8791261184,0,0,0
1790173995117,8697,16029908992,8541290852,8791261184,0,0,0
1790173995367,8697,16029908992,8541290852,8791261184,0,0,0
1790173995617,8697,16029908992,8541290852,8791261184,0,0,0
1790173995867,8697,16029908992,8541290852,8791261184,0,0,0
1790173996117,8697,16029908992,8541290852,8791261184,0,0,0
1790173996367,9593,16029908992,8541290852,8791261184,0,0,0
1790173996617,9593,16029908992,8541290852,8791261184,0,0,0
1790173996867,9593,16029908992,8541290852,8791261184,0,0,0
1790173997117,9593,16029908992,8541290852,8791261184,0,0,0
1790173997367,9593,16029908992,8541290852,8791261184,0,0,0
1790173997617,9593,16029908992,8541290852,8791261184,0,0,0
1790173997867,9593,16029908992,8541290852,8791261184,0,0,0
1790173998117,9593,16029908992,8541290852,8791261184,0,0,0
1790173998367,9593,16029908992,8541290852,8791261184,0,0,0
1790173998617,9593,16029908992,8541290852,8791261184,0,0,0
1790173998867,9593,16029908992,8541290852,8791261184,0,0,0
1790173999117,9593,16029908992,8541290852,8791261184,0,0,0
1790173999367,9593,16029908992,8541290852,8791261184,0,0,0
1790173999617,9593,16029908992,8541290852,8791261184,0,0,0
1790173999867,9593,16029908992,8541290852,8791261184,0,0,0
1790174000117,9593,16029908992,8541290852,8791261184,0,0,0
1790174000367,9593,16029908992,8541290852,8791261184,0,0,0
1790174000617,9593,16029908992,8541290852,8791261184,0,0,0
1790174000867,9593,16029908992,8541290852,8791261184,0,0,0
1790174001117,9593,16029908992,8541290852,8791261184,0,0,0
1790174001367,9593,16029908992,8541290852,8791261184,0,0,0
1790174001617,9593,16029908992,8541290852,8791261184,0,0,0
1790174001867,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174002117,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174002367,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174002617,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174002867,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174003117,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174003367,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174003617,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174003867,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174004117,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174004367,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174004617,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174004867,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
1790174005117,9593,15090384896,9428543944,9730785280,1238316296,1,76226560
