timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/24 17:37:07.612, 0, P0, 1597 MHz, 14001 MHz, 37.57 W, [N/A], 175.00 W, 77, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:07.867, 0, P0, 1597 MHz, 14001 MHz, 37.57 W, [N/A], 175.00 W, 77, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:08.117, 0, P0, 1597 MHz, 14001 MHz, 37.57 W, [N/A], 175.00 W, 77, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:08.368, 0, P0, 1597 MHz, 14001 MHz, 37.57 W, [N/A], 175.00 W, 77, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:08.619, 0, P0, 1590 MHz, 14001 MHz, 34.49 W, [N/A], 175.00 W, 76, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:08.870, 0, P0, 1590 MHz, 14001 MHz, 34.49 W, [N/A], 175.00 W, 76, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:09.121, 0, P4, 247 MHz, 9001 MHz, 29.85 W, [N/A], 175.00 W, 75, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:09.372, 0, P4, 247 MHz, 9001 MHz, 29.85 W, [N/A], 175.00 W, 75, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:09.623, 0, P4, 180 MHz, 9001 MHz, 24.58 W, [N/A], 175.00 W, 74, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:09.874, 0, P4, 180 MHz, 9001 MHz, 24.58 W, [N/A], 175.00 W, 74, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:10.125, 0, P4, 180 MHz, 9001 MHz, 20.50 W, [N/A], 175.00 W, 74, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:10.376, 0, P4, 180 MHz, 9001 MHz, 20.50 W, [N/A], 175.00 W, 74, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:10.627, 0, P4, 180 MHz, 9001 MHz, 20.57 W, [N/A], 175.00 W, 73, 15 MiB, 0 %, 5, 8
2026/09/24 17:37:10.878, 0, P4, 180 MHz, 9001 MHz, 20.57 W, [N/A], 175.00 W, 73, 15 MiB, 0 %, 5, 8
