epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790371843034,63,75.99,1590,8716,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371843284,69,80.48,1672,8844,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371843534,69,82.18,1642,9836,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371843784,68,89.33,1597,9836,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371844034,67,91.15,1185,9836,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371844284,69,94.30,1020,9868,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371844534,70,94.61,1530,9868,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371844784,68,93.71,1590,9868,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371845034,67,92.87,1200,9897,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371845284,69,95.50,1125,9930,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371845534,69,93.80,1530,10195,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371845784,69,93.71,1642,9964,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371846034,68,92.10,1140,10060,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371846284,70,94.79,1222,10316,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371846534,70,95.43,1440,10444,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371846784,69,93.16,1492,10446,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371847034,67,93.32,1365,10446,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371847284,68,94.73,885,10446,0,0,0,0,0,0,0,0,0,0,0,0,0
1790371847534,69,94.25,1290,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371847784,68,93.75,1327,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371848034,67,93.65,1012,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371848284,68,93.76,945,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371848534,69,93.61,1260,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371848784,68,93.24,1312,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371849034,67,92.62,1027,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371849284,68,94.11,975,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371849534,69,94.89,1260,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371849784,68,93.64,1282,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
1790371850034,68,94.14,1020,10446,14196211712,10584410720,10636754944,52344224,8,603029504,0,0,0,0,0,0,0
