timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/24 14:57:46.371, 58, 58.50 W, 2445 MHz, 14001 MHz, 15 MiB, 29 %
2026/09/24 14:57:46.682, 58, 58.50 W, 2445 MHz, 14001 MHz, 825 MiB, 29 %
2026/09/24 14:57:46.932, 66, 75.91 W, 2445 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:57:47.182, 66, 75.91 W, 2445 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:57:47.432, 68, 142.26 W, 2745 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:57:47.682, 68, 142.26 W, 2745 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:57:47.933, 67, 174.97 W, 2565 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:57:48.183, 67, 174.97 W, 2565 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:57:48.433, 69, 174.28 W, 2730 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:57:48.683, 69, 174.28 W, 2730 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:57:48.933, 68, 175.24 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:57:49.184, 68, 175.24 W, 2595 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:57:49.434, 69, 173.76 W, 2707 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:57:49.684, 69, 173.76 W, 2707 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:57:49.934, 69, 175.31 W, 2602 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:57:50.184, 69, 175.31 W, 2602 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:57:50.435, 69, 174.51 W, 2685 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:57:50.685, 69, 174.51 W, 2685 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:57:50.935, 69, 175.11 W, 2610 MHz, 14001 MHz, 825 MiB, 100 %
