timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 02:09:14.864, 0, P0, 2355 MHz, 12481 MHz, 91.68 W, 600.00 W, 600.00 W, 39, 0 MiB, 0 %, 5, 16
2026/09/21 02:09:15.117, 0, P0, 2355 MHz, 12481 MHz, 94.66 W, 600.00 W, 600.00 W, 40, 595 MiB, 0 %, 5, 16
2026/09/21 02:09:15.368, 0, P0, 2355 MHz, 12481 MHz, 94.78 W, 600.00 W, 600.00 W, 39, 595 MiB, 2 %, 5, 16
2026/09/21 02:09:15.618, 0, P0, 2355 MHz, 12481 MHz, 95.31 W, 600.00 W, 600.00 W, 39, 2003 MiB, 7 %, 5, 16
2026/09/21 02:09:15.869, 0, P0, 2355 MHz, 12481 MHz, 95.62 W, 600.00 W, 600.00 W, 39, 2899 MiB, 7 %, 5, 16
2026/09/21 02:09:16.119, 0, P0, 2355 MHz, 12481 MHz, 92.29 W, 600.00 W, 600.00 W, 39, 3795 MiB, 7 %, 5, 16
2026/09/21 02:09:16.370, 0, P0, 2355 MHz, 12481 MHz, 92.37 W, 600.00 W, 600.00 W, 39, 4787 MiB, 7 %, 5, 16
2026/09/21 02:09:16.621, 0, P0, 2355 MHz, 12481 MHz, 92.26 W, 600.00 W, 600.00 W, 39, 5651 MiB, 7 %, 5, 16
2026/09/21 02:09:16.871, 0, P0, 2355 MHz, 12481 MHz, 92.15 W, 600.00 W, 600.00 W, 39, 6547 MiB, 7 %, 5, 16
2026/09/21 02:09:17.122, 0, P0, 2355 MHz, 12481 MHz, 92.08 W, 600.00 W, 600.00 W, 39, 7475 MiB, 8 %, 5, 16
2026/09/21 02:09:17.372, 0, P0, 2355 MHz, 12481 MHz, 92.13 W, 600.00 W, 600.00 W, 39, 8339 MiB, 7 %, 5, 16
2026/09/21 02:09:17.623, 0, P0, 2355 MHz, 12481 MHz, 92.09 W, 600.00 W, 600.00 W, 39, 9267 MiB, 7 %, 5, 16
