timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 05:56:16.393, 0, P0, 2355 MHz, 12481 MHz, 92.83 W, 600.00 W, 600.00 W, 39, 0 MiB, 0 %, 5, 16
2026/09/21 05:56:16.647, 0, P0, 2355 MHz, 12481 MHz, 95.43 W, 600.00 W, 600.00 W, 40, 595 MiB, 0 %, 5, 16
2026/09/21 05:56:16.897, 0, P0, 2355 MHz, 12481 MHz, 95.57 W, 600.00 W, 600.00 W, 39, 595 MiB, 2 %, 5, 16
2026/09/21 05:56:17.147, 0, P0, 2355 MHz, 12481 MHz, 96.07 W, 600.00 W, 600.00 W, 39, 2003 MiB, 8 %, 5, 16
2026/09/21 05:56:17.398, 0, P0, 2355 MHz, 12481 MHz, 96.19 W, 600.00 W, 600.00 W, 39, 2931 MiB, 8 %, 5, 16
2026/09/21 05:56:17.648, 0, P0, 2355 MHz, 12481 MHz, 92.35 W, 600.00 W, 600.00 W, 39, 3795 MiB, 7 %, 5, 16
2026/09/21 05:56:17.899, 0, P0, 2355 MHz, 12481 MHz, 92.31 W, 600.00 W, 600.00 W, 39, 4755 MiB, 7 %, 5, 16
2026/09/21 05:56:18.149, 0, P0, 2355 MHz, 12481 MHz, 92.14 W, 600.00 W, 600.00 W, 39, 5651 MiB, 7 %, 5, 16
2026/09/21 05:56:18.400, 0, P0, 2355 MHz, 12481 MHz, 92.17 W, 600.00 W, 600.00 W, 39, 6515 MiB, 7 %, 5, 16
2026/09/21 05:56:18.650, 0, P0, 2355 MHz, 12481 MHz, 92.25 W, 600.00 W, 600.00 W, 39, 7443 MiB, 7 %, 5, 16
2026/09/21 05:56:18.901, 0, P0, 2355 MHz, 12481 MHz, 92.18 W, 600.00 W, 600.00 W, 39, 8339 MiB, 7 %, 5, 16
2026/09/21 05:56:19.151, 0, P0, 2355 MHz, 12481 MHz, 92.25 W, 600.00 W, 600.00 W, 39, 9267 MiB, 7 %, 5, 16
2026/09/21 05:56:19.402, 0, P0, 2355 MHz, 12481 MHz, 92.25 W, 600.00 W, 600.00 W, 39, 10131 MiB, 7 %, 5, 16
2026/09/21 05:56:19.652, 0, P0, 2355 MHz, 12481 MHz, 92.17 W, 600.00 W, 600.00 W, 39, 11059 MiB, 6 %, 5, 16
2026/09/21 05:56:19.902, 0, P0, 2355 MHz, 12481 MHz, 92.17 W, 600.00 W, 600.00 W, 39, 11955 MiB, 7 %, 5, 16
2026/09/21 05:56:20.153, 0, P0, 2355 MHz, 12481 MHz, 92.05 W, 600.00 W, 600.00 W, 39, 12851 MiB, 7 %, 5, 16
2026/09/21 05:56:20.403, 0, P0, 2355 MHz, 12481 MHz, 92.00 W, 600.00 W, 600.00 W, 39, 13747 MiB, 7 %, 5, 16
2026/09/21 05:56:20.654, 0, P0, 2355 MHz, 12481 MHz, 91.94 W, 600.00 W, 600.00 W, 39, 14643 MiB, 7 %, 5, 16
