timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 05:54:20.214, 0, P8, 180 MHz, 405 MHz, 31.99 W, 600.00 W, 600.00 W, 32, 0 MiB, 0 %, 1, 16
2026/09/21 05:54:20.473, 0, P8, 180 MHz, 405 MHz, 31.99 W, 600.00 W, 600.00 W, 32, 1 MiB, 0 %, 1, 16
2026/09/21 05:54:20.724, 0, P0, 180 MHz, 12481 MHz, 44.81 W, 600.00 W, 600.00 W, 33, 595 MiB, 0 %, 5, 16
2026/09/21 05:54:20.975, 0, P0, 2302 MHz, 12481 MHz, 54.13 W, 600.00 W, 600.00 W, 33, 1491 MiB, 0 %, 5, 16
2026/09/21 05:54:21.225, 0, P0, 2362 MHz, 12481 MHz, 58.43 W, 600.00 W, 600.00 W, 33, 2419 MiB, 8 %, 5, 16
2026/09/21 05:54:21.476, 0, P0, 2362 MHz, 12481 MHz, 63.23 W, 600.00 W, 600.00 W, 34, 3347 MiB, 7 %, 5, 16
2026/09/21 05:54:21.726, 0, P0, 2362 MHz, 12481 MHz, 89.44 W, 600.00 W, 600.00 W, 34, 4211 MiB, 8 %, 5, 16
2026/09/21 05:54:21.977, 0, P0, 2362 MHz, 12481 MHz, 89.47 W, 600.00 W, 600.00 W, 34, 5139 MiB, 7 %, 5, 16
2026/09/21 05:54:22.227, 0, P0, 2362 MHz, 12481 MHz, 89.58 W, 600.00 W, 600.00 W, 34, 6003 MiB, 7 %, 5, 16
2026/09/21 05:54:22.477, 0, P0, 2362 MHz, 12481 MHz, 89.65 W, 600.00 W, 600.00 W, 34, 6867 MiB, 7 %, 5, 16
2026/09/21 05:54:22.728, 0, P0, 2362 MHz, 12481 MHz, 89.62 W, 600.00 W, 600.00 W, 34, 7795 MiB, 7 %, 5, 16
2026/09/21 05:54:22.978, 0, P0, 2362 MHz, 12481 MHz, 89.57 W, 600.00 W, 600.00 W, 34, 8659 MiB, 7 %, 5, 16
2026/09/21 05:54:23.229, 0, P0, 2362 MHz, 12481 MHz, 89.53 W, 600.00 W, 600.00 W, 34, 9523 MiB, 6 %, 5, 16
2026/09/21 05:54:23.479, 0, P0, 2362 MHz, 12481 MHz, 89.38 W, 600.00 W, 600.00 W, 34, 10387 MiB, 7 %, 5, 16
2026/09/21 05:54:23.730, 0, P0, 2362 MHz, 12481 MHz, 89.43 W, 600.00 W, 600.00 W, 34, 11315 MiB, 6 %, 5, 16
2026/09/21 05:54:23.980, 0, P0, 2362 MHz, 12481 MHz, 89.49 W, 600.00 W, 600.00 W, 34, 12211 MiB, 6 %, 5, 16
2026/09/21 05:54:24.231, 0, P0, 2362 MHz, 12481 MHz, 89.47 W, 600.00 W, 600.00 W, 34, 13107 MiB, 7 %, 5, 16
2026/09/21 05:54:24.481, 0, P0, 2362 MHz, 12481 MHz, 89.68 W, 600.00 W, 600.00 W, 34, 14003 MiB, 6 %, 5, 16
2026/09/21 05:54:24.732, 0, P0, 2362 MHz, 12481 MHz, 89.57 W, 600.00 W, 600.00 W, 34, 14739 MiB, 7 %, 5, 16
2026/09/21 05:54:24.982, 0, P0, 2362 MHz, 12481 MHz, 89.21 W, 600.00 W, 600.00 W, 34, 16083 MiB, 0 %, 5, 16
2026/09/21 05:54:25.233, 0, P0, 2362 MHz, 12481 MHz, 157.99 W, 600.00 W, 600.00 W, 44, 19539 MiB, 83 %, 5, 16
2026/09/21 05:54:25.483, 0, P0, 2370 MHz, 12481 MHz, 276.81 W, 600.00 W, 600.00 W, 46, 19539 MiB, 100 %, 5, 16
2026/09/21 05:54:25.734, 0, P0, 2422 MHz, 12481 MHz, 356.12 W, 600.00 W, 600.00 W, 47, 19539 MiB, 100 %, 5, 16
2026/09/21 05:54:25.985, 0, P0, 2422 MHz, 12481 MHz, 475.71 W, 600.00 W, 600.00 W, 47, 19539 MiB, 100 %, 5, 16
2026/09/21 05:54:26.235, 0, P0, 2422 MHz, 12481 MHz, 470.61 W, 600.00 W, 600.00 W, 47, 19573 MiB, 100 %, 5, 16
2026/09/21 05:54:26.486, 0, P0, 2370 MHz, 12481 MHz, 438.10 W, 600.00 W, 600.00 W, 43, 19573 MiB, 95 %, 5, 16
2026/09/21 05:54:26.737, 0, P0, 2310 MHz, 12481 MHz, 407.53 W, 600.00 W, 600.00 W, 43, 17205 MiB, 95 %, 5, 16
2026/09/21 05:54:26.987, 0, P0, 2340 MHz, 12481 MHz, 292.60 W, 600.00 W, 600.00 W, 37, 17205 MiB, 0 %, 5, 16
2026/09/21 05:54:27.238, 0, P0, 2355 MHz, 12481 MHz, 224.60 W, 600.00 W, 600.00 W, 37, 17205 MiB, 0 %, 5, 16
2026/09/21 05:54:27.488, 0, P0, 2355 MHz, 12481 MHz, 143.18 W, 600.00 W, 600.00 W, 36, 17205 MiB, 0 %, 5, 16
