timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 11:02:55.696, 0, P0, 2355 MHz, 12481 MHz, 92.01 W, 600.00 W, 600.00 W, 38, 0 MiB, 0 %, 5, 16
2026/09/21 11:02:55.950, 0, P0, 2355 MHz, 12481 MHz, 93.89 W, 600.00 W, 600.00 W, 39, 595 MiB, 0 %, 5, 16
2026/09/21 11:02:56.200, 0, P0, 2355 MHz, 12481 MHz, 94.11 W, 600.00 W, 600.00 W, 38, 595 MiB, 2 %, 5, 16
2026/09/21 11:02:56.450, 0, P0, 2355 MHz, 12481 MHz, 94.60 W, 600.00 W, 600.00 W, 38, 1971 MiB, 6 %, 5, 16
2026/09/21 11:02:56.701, 0, P0, 2355 MHz, 12481 MHz, 95.01 W, 600.00 W, 600.00 W, 38, 2867 MiB, 8 %, 5, 16
2026/09/21 11:02:56.952, 0, P0, 2355 MHz, 12481 MHz, 91.70 W, 600.00 W, 600.00 W, 38, 3763 MiB, 7 %, 5, 16
2026/09/21 11:02:57.202, 0, P0, 2355 MHz, 12481 MHz, 91.73 W, 600.00 W, 600.00 W, 38, 4659 MiB, 7 %, 5, 16
2026/09/21 11:02:57.453, 0, P0, 2355 MHz, 12481 MHz, 91.65 W, 600.00 W, 600.00 W, 38, 5523 MiB, 7 %, 5, 16
2026/09/21 11:02:57.704, 0, P0, 2355 MHz, 12481 MHz, 91.63 W, 600.00 W, 600.00 W, 38, 6451 MiB, 7 %, 5, 16
2026/09/21 11:02:57.954, 0, P0, 2355 MHz, 12481 MHz, 91.53 W, 600.00 W, 600.00 W, 38, 7315 MiB, 7 %, 5, 16
2026/09/21 11:02:58.205, 0, P0, 2355 MHz, 12481 MHz, 91.54 W, 600.00 W, 600.00 W, 38, 8179 MiB, 8 %, 5, 16
2026/09/21 11:02:58.455, 0, P0, 2355 MHz, 12481 MHz, 91.55 W, 600.00 W, 600.00 W, 38, 9075 MiB, 7 %, 5, 16
2026/09/21 11:02:58.706, 0, P0, 2355 MHz, 12481 MHz, 91.52 W, 600.00 W, 600.00 W, 38, 9971 MiB, 6 %, 5, 16
2026/09/21 11:02:58.957, 0, P0, 2355 MHz, 12481 MHz, 91.53 W, 600.00 W, 600.00 W, 38, 10899 MiB, 7 %, 5, 16
2026/09/21 11:02:59.207, 0, P0, 2355 MHz, 12481 MHz, 91.59 W, 600.00 W, 600.00 W, 38, 11763 MiB, 7 %, 5, 16
2026/09/21 11:02:59.458, 0, P0, 2355 MHz, 12481 MHz, 91.47 W, 600.00 W, 600.00 W, 38, 12691 MiB, 6 %, 5, 16
