timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 09:27:49.356, 0, P0, 2422 MHz, 12481 MHz, 101.24 W, 600.00 W, 600.00 W, 48, 0 MiB, 0 %, 5, 16
2026/09/21 09:27:49.609, 0, P0, 2422 MHz, 12481 MHz, 101.25 W, 600.00 W, 600.00 W, 47, 1 MiB, 0 %, 5, 16
2026/09/21 09:27:49.867, 0, P0, 2422 MHz, 12481 MHz, 102.60 W, 600.00 W, 600.00 W, 47, 595 MiB, 0 %, 5, 16
2026/09/21 09:27:50.118, 0, P0, 2422 MHz, 12481 MHz, 95.11 W, 600.00 W, 600.00 W, 47, 1587 MiB, 0 %, 5, 16
2026/09/21 09:27:50.368, 0, P0, 2422 MHz, 12481 MHz, 89.83 W, 600.00 W, 600.00 W, 47, 2515 MiB, 7 %, 5, 16
2026/09/21 09:27:50.618, 0, P0, 2422 MHz, 12481 MHz, 90.00 W, 600.00 W, 600.00 W, 47, 3379 MiB, 7 %, 5, 16
2026/09/21 09:27:50.869, 0, P0, 2422 MHz, 12481 MHz, 88.98 W, 600.00 W, 600.00 W, 46, 4275 MiB, 7 %, 5, 16
2026/09/21 09:27:51.119, 0, P0, 2422 MHz, 12481 MHz, 89.08 W, 600.00 W, 600.00 W, 46, 5171 MiB, 7 %, 5, 16
2026/09/21 09:27:51.370, 0, P0, 2422 MHz, 12481 MHz, 88.88 W, 600.00 W, 600.00 W, 46, 6099 MiB, 7 %, 5, 16
2026/09/21 09:27:51.620, 0, P0, 2422 MHz, 12481 MHz, 88.68 W, 600.00 W, 600.00 W, 46, 6963 MiB, 7 %, 5, 16
2026/09/21 09:27:51.871, 0, P0, 2422 MHz, 12481 MHz, 88.73 W, 600.00 W, 600.00 W, 46, 7827 MiB, 7 %, 5, 16
