timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 09:25:23.090, 0, P0, 2355 MHz, 12481 MHz, 202.75 W, 600.00 W, 600.00 W, 40, 0 MiB, 0 %, 5, 16
2026/09/21 09:25:23.344, 0, P0, 2355 MHz, 12481 MHz, 164.49 W, 600.00 W, 600.00 W, 40, 595 MiB, 0 %, 5, 16
2026/09/21 09:25:23.594, 0, P0, 2355 MHz, 12481 MHz, 108.04 W, 600.00 W, 600.00 W, 40, 595 MiB, 2 %, 5, 16
2026/09/21 09:25:23.845, 0, P0, 2355 MHz, 12481 MHz, 93.36 W, 600.00 W, 600.00 W, 40, 1971 MiB, 6 %, 5, 16
2026/09/21 09:25:24.095, 0, P0, 2355 MHz, 12481 MHz, 93.57 W, 600.00 W, 600.00 W, 40, 2867 MiB, 7 %, 5, 16
2026/09/21 09:25:24.345, 0, P0, 2355 MHz, 12481 MHz, 92.72 W, 600.00 W, 600.00 W, 40, 3763 MiB, 6 %, 5, 16
2026/09/21 09:25:24.596, 0, P0, 2355 MHz, 12481 MHz, 92.84 W, 600.00 W, 600.00 W, 40, 4659 MiB, 7 %, 5, 16
2026/09/21 09:25:24.846, 0, P0, 2355 MHz, 12481 MHz, 92.68 W, 600.00 W, 600.00 W, 40, 5587 MiB, 7 %, 5, 16
2026/09/21 09:25:25.097, 0, P0, 2355 MHz, 12481 MHz, 92.67 W, 600.00 W, 600.00 W, 40, 6451 MiB, 8 %, 5, 16
2026/09/21 09:25:25.347, 0, P0, 2355 MHz, 12481 MHz, 92.51 W, 600.00 W, 600.00 W, 40, 7315 MiB, 7 %, 5, 16
2026/09/21 09:25:25.598, 0, P0, 2355 MHz, 12481 MHz, 92.43 W, 600.00 W, 600.00 W, 40, 8243 MiB, 7 %, 5, 16
2026/09/21 09:25:25.848, 0, P0, 2355 MHz, 12481 MHz, 92.39 W, 600.00 W, 600.00 W, 39, 9107 MiB, 7 %, 5, 16
2026/09/21 09:25:26.099, 0, P0, 2355 MHz, 12481 MHz, 92.37 W, 600.00 W, 600.00 W, 39, 9971 MiB, 6 %, 5, 16
2026/09/21 09:25:26.349, 0, P0, 2355 MHz, 12481 MHz, 92.31 W, 600.00 W, 600.00 W, 39, 10899 MiB, 6 %, 5, 16
2026/09/21 09:25:26.600, 0, P0, 2355 MHz, 12481 MHz, 92.31 W, 600.00 W, 600.00 W, 39, 11827 MiB, 6 %, 5, 16
2026/09/21 09:25:26.850, 0, P0, 2355 MHz, 12481 MHz, 92.43 W, 600.00 W, 600.00 W, 39, 12691 MiB, 7 %, 5, 16
2026/09/21 09:25:27.101, 0, P0, 2355 MHz, 12481 MHz, 92.41 W, 600.00 W, 600.00 W, 39, 13619 MiB, 7 %, 5, 16
2026/09/21 09:25:27.351, 0, P0, 2355 MHz, 12481 MHz, 92.51 W, 600.00 W, 600.00 W, 39, 14515 MiB, 8 %, 5, 16
2026/09/21 09:25:27.601, 0, P0, 2355 MHz, 12481 MHz, 92.26 W, 600.00 W, 600.00 W, 39, 14739 MiB, 6 %, 5, 16
2026/09/21 09:25:27.852, 0, P0, 2355 MHz, 12481 MHz, 91.64 W, 600.00 W, 600.00 W, 39, 14739 MiB, 0 %, 5, 16
2026/09/21 09:25:28.102, 0, P0, 2355 MHz, 12481 MHz, 91.27 W, 600.00 W, 600.00 W, 39, 14739 MiB, 0 %, 5, 16
2026/09/21 09:25:28.352, 0, P0, 2355 MHz, 12481 MHz, 90.67 W, 600.00 W, 600.00 W, 39, 14739 MiB, 0 %, 5, 16
