timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 23:56:05.244, 0, P0, 2347 MHz, 12481 MHz, 93.39 W, 600.00 W, 600.00 W, 42, 0 MiB, 0 %, 5, 16
2026/09/21 23:56:05.497, 0, P0, 2347 MHz, 12481 MHz, 97.78 W, 600.00 W, 600.00 W, 42, 39 MiB, 0 %, 5, 16
2026/09/21 23:56:05.748, 0, P0, 2347 MHz, 12481 MHz, 98.58 W, 600.00 W, 600.00 W, 42, 595 MiB, 2 %, 5, 16
2026/09/21 23:56:05.998, 0, P0, 2355 MHz, 12481 MHz, 98.86 W, 600.00 W, 600.00 W, 42, 1875 MiB, 16 %, 5, 16
2026/09/21 23:56:06.249, 0, P0, 2347 MHz, 12481 MHz, 98.63 W, 600.00 W, 600.00 W, 42, 2771 MiB, 7 %, 5, 16
2026/09/21 23:56:06.499, 0, P0, 2347 MHz, 12481 MHz, 94.18 W, 600.00 W, 600.00 W, 42, 3635 MiB, 6 %, 5, 16
2026/09/21 23:56:06.749, 0, P0, 2347 MHz, 12481 MHz, 93.86 W, 600.00 W, 600.00 W, 42, 4563 MiB, 7 %, 5, 16
2026/09/21 23:56:07.000, 0, P0, 2347 MHz, 12481 MHz, 93.86 W, 600.00 W, 600.00 W, 42, 5427 MiB, 8 %, 5, 16
2026/09/21 23:56:07.250, 0, P0, 2347 MHz, 12481 MHz, 93.86 W, 600.00 W, 600.00 W, 42, 6355 MiB, 7 %, 5, 16
2026/09/21 23:56:07.501, 0, P0, 2347 MHz, 12481 MHz, 93.79 W, 600.00 W, 600.00 W, 42, 7219 MiB, 8 %, 5, 16
2026/09/21 23:56:07.751, 0, P0, 2347 MHz, 12481 MHz, 93.79 W, 600.00 W, 600.00 W, 42, 8147 MiB, 6 %, 5, 16
2026/09/21 23:56:08.002, 0, P0, 2347 MHz, 12481 MHz, 93.81 W, 600.00 W, 600.00 W, 42, 9075 MiB, 6 %, 5, 16
2026/09/21 23:56:08.252, 0, P0, 2347 MHz, 12481 MHz, 93.75 W, 600.00 W, 600.00 W, 42, 9939 MiB, 7 %, 5, 16
2026/09/21 23:56:08.503, 0, P0, 2355 MHz, 12481 MHz, 93.86 W, 600.00 W, 600.00 W, 41, 10803 MiB, 7 %, 5, 16
2026/09/21 23:56:08.753, 0, P0, 2355 MHz, 12481 MHz, 93.73 W, 600.00 W, 600.00 W, 41, 11731 MiB, 8 %, 5, 16
2026/09/21 23:56:09.004, 0, P0, 2355 MHz, 12481 MHz, 93.65 W, 600.00 W, 600.00 W, 41, 12627 MiB, 8 %, 5, 16
2026/09/21 23:56:09.254, 0, P0, 2355 MHz, 12481 MHz, 93.65 W, 600.00 W, 600.00 W, 41, 13491 MiB, 6 %, 5, 16
2026/09/21 23:56:09.505, 0, P0, 2355 MHz, 12481 MHz, 93.56 W, 600.00 W, 600.00 W, 41, 14387 MiB, 6 %, 5, 16
2026/09/21 23:56:09.755, 0, P0, 2347 MHz, 12481 MHz, 93.45 W, 600.00 W, 600.00 W, 41, 14739 MiB, 6 %, 5, 16
2026/09/21 23:56:10.006, 0, P0, 2347 MHz, 12481 MHz, 92.92 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:10.256, 0, P0, 2347 MHz, 12481 MHz, 92.55 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:10.506, 0, P0, 2347 MHz, 12481 MHz, 91.96 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:10.757, 0, P0, 2347 MHz, 12481 MHz, 91.74 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:11.007, 0, P0, 2347 MHz, 12481 MHz, 91.74 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
