timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 23:56:26.176, 0, P0, 2355 MHz, 12481 MHz, 93.75 W, 600.00 W, 600.00 W, 42, 0 MiB, 0 %, 5, 16
2026/09/21 23:56:26.430, 0, P0, 2355 MHz, 12481 MHz, 98.95 W, 600.00 W, 600.00 W, 42, 41 MiB, 0 %, 5, 16
2026/09/21 23:56:26.680, 0, P0, 2347 MHz, 12481 MHz, 99.53 W, 600.00 W, 600.00 W, 42, 595 MiB, 3 %, 5, 16
2026/09/21 23:56:26.930, 0, P0, 2347 MHz, 12481 MHz, 99.94 W, 600.00 W, 600.00 W, 42, 1907 MiB, 18 %, 5, 16
2026/09/21 23:56:27.181, 0, P0, 2347 MHz, 12481 MHz, 99.23 W, 600.00 W, 600.00 W, 42, 2835 MiB, 7 %, 5, 16
2026/09/21 23:56:27.431, 0, P0, 2347 MHz, 12481 MHz, 94.32 W, 600.00 W, 600.00 W, 42, 3699 MiB, 7 %, 5, 16
2026/09/21 23:56:27.682, 0, P0, 2347 MHz, 12481 MHz, 93.96 W, 600.00 W, 600.00 W, 42, 4627 MiB, 7 %, 5, 16
2026/09/21 23:56:27.932, 0, P0, 2347 MHz, 12481 MHz, 93.88 W, 600.00 W, 600.00 W, 42, 5523 MiB, 7 %, 5, 16
2026/09/21 23:56:28.183, 0, P0, 2347 MHz, 12481 MHz, 93.82 W, 600.00 W, 600.00 W, 42, 6451 MiB, 7 %, 5, 16
2026/09/21 23:56:28.433, 0, P0, 2347 MHz, 12481 MHz, 93.82 W, 600.00 W, 600.00 W, 42, 7379 MiB, 8 %, 5, 16
2026/09/21 23:56:28.684, 0, P0, 2347 MHz, 12481 MHz, 93.85 W, 600.00 W, 600.00 W, 42, 8307 MiB, 6 %, 5, 16
2026/09/21 23:56:28.934, 0, P0, 2347 MHz, 12481 MHz, 93.94 W, 600.00 W, 600.00 W, 42, 9171 MiB, 7 %, 5, 16
2026/09/21 23:56:29.185, 0, P0, 2347 MHz, 12481 MHz, 93.93 W, 600.00 W, 600.00 W, 42, 10099 MiB, 7 %, 5, 16
2026/09/21 23:56:29.435, 0, P0, 2347 MHz, 12481 MHz, 93.88 W, 600.00 W, 600.00 W, 42, 10995 MiB, 7 %, 5, 16
2026/09/21 23:56:29.686, 0, P0, 2347 MHz, 12481 MHz, 93.84 W, 600.00 W, 600.00 W, 42, 11923 MiB, 7 %, 5, 16
2026/09/21 23:56:29.936, 0, P0, 2347 MHz, 12481 MHz, 93.76 W, 600.00 W, 600.00 W, 42, 12851 MiB, 6 %, 5, 16
2026/09/21 23:56:30.186, 0, P0, 2347 MHz, 12481 MHz, 93.66 W, 600.00 W, 600.00 W, 41, 13747 MiB, 8 %, 5, 16
2026/09/21 23:56:30.437, 0, P0, 2347 MHz, 12481 MHz, 93.65 W, 600.00 W, 600.00 W, 41, 14611 MiB, 6 %, 5, 16
2026/09/21 23:56:30.687, 0, P0, 2347 MHz, 12481 MHz, 93.50 W, 600.00 W, 600.00 W, 41, 14739 MiB, 6 %, 5, 16
2026/09/21 23:56:30.938, 0, P0, 2347 MHz, 12481 MHz, 92.90 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:31.188, 0, P0, 2347 MHz, 12481 MHz, 92.61 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:31.438, 0, P0, 2347 MHz, 12481 MHz, 92.03 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:31.689, 0, P0, 2347 MHz, 12481 MHz, 91.87 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:31.939, 0, P0, 2347 MHz, 12481 MHz, 91.87 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:32.189, 0, P0, 2347 MHz, 12481 MHz, 91.87 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:32.440, 0, P0, 2347 MHz, 12481 MHz, 91.87 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:32.690, 0, P0, 2347 MHz, 12481 MHz, 90.54 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:32.940, 0, P0, 2347 MHz, 12481 MHz, 90.54 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:33.191, 0, P0, 2347 MHz, 12481 MHz, 90.54 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:33.441, 0, P0, 2347 MHz, 12481 MHz, 90.54 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:33.691, 0, P0, 2347 MHz, 12481 MHz, 90.76 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:33.941, 0, P0, 2347 MHz, 12481 MHz, 90.76 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:34.192, 0, P0, 2347 MHz, 12481 MHz, 90.76 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:34.442, 0, P0, 2347 MHz, 12481 MHz, 90.76 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:34.692, 0, P0, 2347 MHz, 12481 MHz, 90.94 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:34.943, 0, P0, 2347 MHz, 12481 MHz, 90.94 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:35.193, 0, P0, 2347 MHz, 12481 MHz, 90.94 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:35.443, 0, P0, 2347 MHz, 12481 MHz, 90.94 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:35.694, 0, P0, 2355 MHz, 12481 MHz, 90.74 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:35.944, 0, P0, 2355 MHz, 12481 MHz, 90.74 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 23:56:36.194, 0, P0, 2355 MHz, 12481 MHz, 90.74 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
