timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 02:57:49.432, 0, P0, 2355 MHz, 12481 MHz, 94.82 W, 600.00 W, 600.00 W, 42, 0 MiB, 0 %, 5, 16
2026/09/22 02:57:49.686, 0, P0, 2355 MHz, 12481 MHz, 97.78 W, 600.00 W, 600.00 W, 42, 39 MiB, 0 %, 5, 16
2026/09/22 02:57:49.936, 0, P0, 2347 MHz, 12481 MHz, 98.29 W, 600.00 W, 600.00 W, 42, 595 MiB, 0 %, 5, 16
2026/09/22 02:57:50.186, 0, P0, 2355 MHz, 12481 MHz, 98.84 W, 600.00 W, 600.00 W, 42, 1907 MiB, 15 %, 5, 16
2026/09/22 02:57:50.437, 0, P0, 2355 MHz, 12481 MHz, 98.44 W, 600.00 W, 600.00 W, 42, 2835 MiB, 8 %, 5, 16
2026/09/22 02:57:50.687, 0, P0, 2355 MHz, 12481 MHz, 94.09 W, 600.00 W, 600.00 W, 42, 3763 MiB, 7 %, 5, 16
2026/09/22 02:57:50.938, 0, P0, 2355 MHz, 12481 MHz, 93.79 W, 600.00 W, 600.00 W, 41, 4659 MiB, 8 %, 5, 16
2026/09/22 02:57:51.188, 0, P0, 2355 MHz, 12481 MHz, 93.77 W, 600.00 W, 600.00 W, 41, 5587 MiB, 7 %, 5, 16
2026/09/22 02:57:51.439, 0, P0, 2355 MHz, 12481 MHz, 93.75 W, 600.00 W, 600.00 W, 41, 6515 MiB, 8 %, 5, 16
2026/09/22 02:57:51.689, 0, P0, 2355 MHz, 12481 MHz, 93.66 W, 600.00 W, 600.00 W, 41, 7443 MiB, 8 %, 5, 16
2026/09/22 02:57:51.940, 0, P0, 2355 MHz, 12481 MHz, 93.70 W, 600.00 W, 600.00 W, 41, 8339 MiB, 7 %, 5, 16
2026/09/22 02:57:52.190, 0, P0, 2355 MHz, 12481 MHz, 93.68 W, 600.00 W, 600.00 W, 41, 9267 MiB, 6 %, 5, 16
2026/09/22 02:57:52.440, 0, P0, 2355 MHz, 12481 MHz, 93.62 W, 600.00 W, 600.00 W, 41, 10195 MiB, 7 %, 5, 16
2026/09/22 02:57:52.691, 0, P0, 2347 MHz, 12481 MHz, 93.62 W, 600.00 W, 600.00 W, 41, 11091 MiB, 7 %, 5, 16
2026/09/22 02:57:52.941, 0, P0, 2355 MHz, 12481 MHz, 93.65 W, 600.00 W, 600.00 W, 41, 12019 MiB, 7 %, 5, 16
2026/09/22 02:57:53.192, 0, P0, 2355 MHz, 12481 MHz, 93.62 W, 600.00 W, 600.00 W, 41, 12947 MiB, 7 %, 5, 16
2026/09/22 02:57:53.442, 0, P0, 2355 MHz, 12481 MHz, 93.66 W, 600.00 W, 600.00 W, 41, 13843 MiB, 8 %, 5, 16
2026/09/22 02:57:53.693, 0, P0, 2347 MHz, 12481 MHz, 93.60 W, 600.00 W, 600.00 W, 41, 14739 MiB, 7 %, 5, 16
2026/09/22 02:57:53.943, 0, P0, 2355 MHz, 12481 MHz, 93.25 W, 600.00 W, 600.00 W, 41, 16083 MiB, 6 %, 5, 16
2026/09/22 02:57:54.194, 0, P0, 2377 MHz, 12481 MHz, 170.64 W, 600.00 W, 600.00 W, 50, 19539 MiB, 97 %, 5, 16
2026/09/22 02:57:54.444, 0, P0, 2422 MHz, 12481 MHz, 250.38 W, 600.00 W, 600.00 W, 53, 19539 MiB, 100 %, 5, 16
2026/09/22 02:57:54.695, 0, P0, 2422 MHz, 12481 MHz, 371.26 W, 600.00 W, 600.00 W, 53, 19539 MiB, 100 %, 5, 16
2026/09/22 02:57:54.945, 0, P0, 2422 MHz, 12481 MHz, 452.55 W, 600.00 W, 600.00 W, 54, 19539 MiB, 100 %, 5, 16
2026/09/22 02:57:55.197, 0, P0, 2422 MHz, 12481 MHz, 475.29 W, 600.00 W, 600.00 W, 51, 19573 MiB, 95 %, 5, 16
2026/09/22 02:57:55.448, 0, P0, 2415 MHz, 12481 MHz, 446.86 W, 600.00 W, 600.00 W, 48, 19573 MiB, 96 %, 5, 16
2026/09/22 02:57:55.698, 0, P0, 2415 MHz, 12481 MHz, 376.39 W, 600.00 W, 600.00 W, 47, 17205 MiB, 96 %, 5, 16
2026/09/22 02:57:55.949, 0, P0, 2392 MHz, 12481 MHz, 295.01 W, 600.00 W, 600.00 W, 43, 17205 MiB, 5 %, 5, 16
2026/09/22 02:57:56.200, 0, P0, 2355 MHz, 12481 MHz, 198.22 W, 600.00 W, 600.00 W, 43, 17205 MiB, 0 %, 5, 16
2026/09/22 02:57:56.450, 0, P0, 2355 MHz, 12481 MHz, 148.98 W, 600.00 W, 600.00 W, 43, 17205 MiB, 0 %, 5, 16
2026/09/22 02:57:56.700, 0, P0, 2355 MHz, 12481 MHz, 94.79 W, 600.00 W, 600.00 W, 43, 17205 MiB, 0 %, 5, 16
2026/09/22 02:57:56.951, 0, P0, 2355 MHz, 12481 MHz, 94.79 W, 600.00 W, 600.00 W, 43, 17205 MiB, 0 %, 5, 16
2026/09/22 02:57:57.201, 0, P0, 2355 MHz, 12481 MHz, 94.79 W, 600.00 W, 600.00 W, 43, 17205 MiB, 0 %, 5, 16
2026/09/22 02:57:57.451, 0, P0, 2355 MHz, 12481 MHz, 94.79 W, 600.00 W, 600.00 W, 43, 17205 MiB, 0 %, 5, 16
2026/09/22 02:57:57.702, 0, P0, 2355 MHz, 12481 MHz, 100.33 W, 600.00 W, 600.00 W, 42, 17589 MiB, 0 %, 5, 16
2026/09/22 02:57:57.952, 0, P0, 2407 MHz, 12481 MHz, 129.67 W, 600.00 W, 600.00 W, 46, 18293 MiB, 98 %, 5, 16
2026/09/22 02:57:58.203, 0, P0, 2415 MHz, 12481 MHz, 166.00 W, 600.00 W, 600.00 W, 48, 18293 MiB, 68 %, 5, 16
2026/09/22 02:57:58.453, 0, P0, 2422 MHz, 12481 MHz, 178.04 W, 600.00 W, 600.00 W, 47, 18901 MiB, 95 %, 5, 16
2026/09/22 02:57:58.704, 0, P0, 2415 MHz, 12481 MHz, 311.80 W, 600.00 W, 600.00 W, 48, 18901 MiB, 95 %, 5, 16
2026/09/22 02:57:58.955, 0, P0, 2422 MHz, 12481 MHz, 307.72 W, 600.00 W, 600.00 W, 47, 19349 MiB, 95 %, 5, 16
