timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 04:21:32.593, 0, P0, 2355 MHz, 12481 MHz, 93.64 W, 600.00 W, 600.00 W, 40, 0 MiB, 0 %, 5, 16
2026/09/22 04:21:32.846, 0, P0, 2355 MHz, 12481 MHz, 96.36 W, 600.00 W, 600.00 W, 40, 39 MiB, 0 %, 5, 16
2026/09/22 04:21:33.096, 0, P0, 2355 MHz, 12481 MHz, 97.21 W, 600.00 W, 600.00 W, 40, 595 MiB, 3 %, 5, 16
2026/09/22 04:21:33.347, 0, P0, 2355 MHz, 12481 MHz, 97.62 W, 600.00 W, 600.00 W, 40, 1843 MiB, 18 %, 5, 16
2026/09/22 04:21:33.597, 0, P0, 2355 MHz, 12481 MHz, 97.24 W, 600.00 W, 600.00 W, 40, 2771 MiB, 7 %, 5, 16
2026/09/22 04:21:33.848, 0, P0, 2355 MHz, 12481 MHz, 92.96 W, 600.00 W, 600.00 W, 40, 3635 MiB, 7 %, 5, 16
2026/09/22 04:21:34.098, 0, P0, 2355 MHz, 12481 MHz, 92.50 W, 600.00 W, 600.00 W, 40, 4467 MiB, 6 %, 5, 16
2026/09/22 04:21:34.349, 0, P0, 2355 MHz, 12481 MHz, 92.43 W, 600.00 W, 600.00 W, 40, 5395 MiB, 7 %, 5, 16
2026/09/22 04:21:34.599, 0, P0, 2355 MHz, 12481 MHz, 92.38 W, 600.00 W, 600.00 W, 40, 6259 MiB, 7 %, 5, 16
2026/09/22 04:21:34.850, 0, P0, 2355 MHz, 12481 MHz, 92.35 W, 600.00 W, 600.00 W, 40, 7123 MiB, 7 %, 5, 16
2026/09/22 04:21:35.100, 0, P0, 2355 MHz, 12481 MHz, 92.27 W, 600.00 W, 600.00 W, 40, 8051 MiB, 7 %, 5, 16
2026/09/22 04:21:35.350, 0, P0, 2355 MHz, 12481 MHz, 92.29 W, 600.00 W, 600.00 W, 39, 8915 MiB, 7 %, 5, 16
2026/09/22 04:21:35.601, 0, P0, 2355 MHz, 12481 MHz, 92.25 W, 600.00 W, 600.00 W, 39, 9779 MiB, 7 %, 5, 16
2026/09/22 04:21:35.851, 0, P0, 2355 MHz, 12481 MHz, 92.29 W, 600.00 W, 600.00 W, 39, 10707 MiB, 7 %, 5, 16
2026/09/22 04:21:36.102, 0, P0, 2355 MHz, 12481 MHz, 92.25 W, 600.00 W, 600.00 W, 39, 11571 MiB, 8 %, 5, 16
2026/09/22 04:21:36.352, 0, P0, 2355 MHz, 12481 MHz, 92.12 W, 600.00 W, 600.00 W, 39, 12435 MiB, 7 %, 5, 16
2026/09/22 04:21:36.603, 0, P0, 2355 MHz, 12481 MHz, 92.17 W, 600.00 W, 600.00 W, 39, 13299 MiB, 7 %, 5, 16
2026/09/22 04:21:36.853, 0, P0, 2355 MHz, 12481 MHz, 92.07 W, 600.00 W, 600.00 W, 39, 14163 MiB, 7 %, 5, 16
2026/09/22 04:21:37.104, 0, P0, 2355 MHz, 12481 MHz, 92.09 W, 600.00 W, 600.00 W, 39, 14739 MiB, 7 %, 5, 16
2026/09/22 04:21:37.354, 0, P0, 2355 MHz, 12481 MHz, 92.24 W, 600.00 W, 600.00 W, 39, 19539 MiB, 0 %, 5, 16
2026/09/22 04:21:37.605, 0, P0, 2347 MHz, 12481 MHz, 171.97 W, 600.00 W, 600.00 W, 49, 19539 MiB, 100 %, 5, 16
2026/09/22 04:21:37.855, 0, P0, 2422 MHz, 12481 MHz, 288.04 W, 600.00 W, 600.00 W, 50, 19539 MiB, 100 %, 5, 16
2026/09/22 04:21:38.106, 0, P0, 2422 MHz, 12481 MHz, 374.93 W, 600.00 W, 600.00 W, 52, 19539 MiB, 100 %, 5, 16
2026/09/22 04:21:38.356, 0, P0, 2422 MHz, 12481 MHz, 493.46 W, 600.00 W, 600.00 W, 52, 19539 MiB, 100 %, 5, 16
2026/09/22 04:21:38.607, 0, P0, 2422 MHz, 12481 MHz, 469.36 W, 600.00 W, 600.00 W, 46, 19573 MiB, 95 %, 5, 16
2026/09/22 04:21:38.858, 0, P0, 2415 MHz, 12481 MHz, 424.45 W, 600.00 W, 600.00 W, 46, 19573 MiB, 95 %, 5, 16
2026/09/22 04:21:39.108, 0, P0, 2415 MHz, 12481 MHz, 363.55 W, 600.00 W, 600.00 W, 42, 17205 MiB, 95 %, 5, 16
