timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 04:08:58.377, 0, P8, 180 MHz, 405 MHz, 33.08 W, 600.00 W, 600.00 W, 32, 0 MiB, 0 %, 1, 16
2026/09/22 04:08:58.637, 0, P8, 180 MHz, 405 MHz, 33.08 W, 600.00 W, 600.00 W, 32, 3 MiB, 0 %, 1, 16
2026/09/22 04:08:58.891, 0, P0, 180 MHz, 12481 MHz, 39.70 W, 600.00 W, 600.00 W, 33, 595 MiB, 0 %, 5, 16
2026/09/22 04:08:59.141, 0, P0, 2362 MHz, 12481 MHz, 47.13 W, 600.00 W, 600.00 W, 34, 1651 MiB, 11 %, 5, 16
2026/09/22 04:08:59.391, 0, P0, 2362 MHz, 12481 MHz, 65.91 W, 600.00 W, 600.00 W, 34, 2579 MiB, 7 %, 5, 16
2026/09/22 04:08:59.642, 0, P0, 2362 MHz, 12481 MHz, 70.67 W, 600.00 W, 600.00 W, 34, 3443 MiB, 7 %, 5, 16
2026/09/22 04:08:59.892, 0, P0, 2362 MHz, 12481 MHz, 89.45 W, 600.00 W, 600.00 W, 34, 4371 MiB, 8 %, 5, 16
2026/09/22 04:09:00.143, 0, P0, 2362 MHz, 12481 MHz, 89.61 W, 600.00 W, 600.00 W, 34, 5267 MiB, 7 %, 5, 16
2026/09/22 04:09:00.393, 0, P0, 2362 MHz, 12481 MHz, 89.54 W, 600.00 W, 600.00 W, 34, 6195 MiB, 7 %, 5, 16
2026/09/22 04:09:00.644, 0, P0, 2362 MHz, 12481 MHz, 89.50 W, 600.00 W, 600.00 W, 34, 7059 MiB, 7 %, 5, 16
2026/09/22 04:09:00.895, 0, P0, 2362 MHz, 12481 MHz, 89.50 W, 600.00 W, 600.00 W, 34, 7923 MiB, 6 %, 5, 16
2026/09/22 04:09:01.145, 0, P0, 2362 MHz, 12481 MHz, 89.47 W, 600.00 W, 600.00 W, 34, 8851 MiB, 6 %, 5, 16
2026/09/22 04:09:01.396, 0, P0, 2362 MHz, 12481 MHz, 89.47 W, 600.00 W, 600.00 W, 34, 9779 MiB, 8 %, 5, 16
2026/09/22 04:09:01.646, 0, P0, 2362 MHz, 12481 MHz, 89.53 W, 600.00 W, 600.00 W, 34, 10707 MiB, 6 %, 5, 16
2026/09/22 04:09:01.897, 0, P0, 2362 MHz, 12481 MHz, 89.51 W, 600.00 W, 600.00 W, 34, 11571 MiB, 8 %, 5, 16
2026/09/22 04:09:02.147, 0, P0, 2362 MHz, 12481 MHz, 89.58 W, 600.00 W, 600.00 W, 34, 12467 MiB, 7 %, 5, 16
2026/09/22 04:09:02.398, 0, P0, 2362 MHz, 12481 MHz, 89.66 W, 600.00 W, 600.00 W, 34, 13395 MiB, 6 %, 5, 16
2026/09/22 04:09:02.648, 0, P0, 2362 MHz, 12481 MHz, 89.61 W, 600.00 W, 600.00 W, 34, 14259 MiB, 7 %, 5, 16
2026/09/22 04:09:02.899, 0, P0, 2362 MHz, 12481 MHz, 89.67 W, 600.00 W, 600.00 W, 34, 14739 MiB, 7 %, 5, 16
2026/09/22 04:09:03.149, 0, P0, 2362 MHz, 12481 MHz, 89.23 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/22 04:09:03.399, 0, P0, 2362 MHz, 12481 MHz, 88.90 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/22 04:09:03.650, 0, P0, 2362 MHz, 12481 MHz, 88.46 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/22 04:09:03.900, 0, P0, 2362 MHz, 12481 MHz, 88.13 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/22 04:09:04.150, 0, P0, 2362 MHz, 12481 MHz, 88.13 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/22 04:09:04.401, 0, P0, 2362 MHz, 12481 MHz, 88.13 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/22 04:09:04.651, 0, P0, 2362 MHz, 12481 MHz, 93.53 W, 600.00 W, 600.00 W, 35, 15891 MiB, 0 %, 5, 16
2026/09/22 04:09:04.902, 0, P0, 2362 MHz, 12481 MHz, 141.32 W, 600.00 W, 600.00 W, 39, 15891 MiB, 94 %, 5, 16
2026/09/22 04:09:05.153, 0, P0, 2332 MHz, 12481 MHz, 188.39 W, 600.00 W, 600.00 W, 40, 15891 MiB, 97 %, 5, 16
2026/09/22 04:09:05.404, 0, P0, 2332 MHz, 12481 MHz, 209.06 W, 600.00 W, 600.00 W, 41, 15891 MiB, 97 %, 5, 16
2026/09/22 04:09:05.654, 0, P0, 2340 MHz, 12481 MHz, 341.38 W, 600.00 W, 600.00 W, 41, 15891 MiB, 97 %, 5, 16
2026/09/22 04:09:05.905, 0, P0, 2340 MHz, 12481 MHz, 344.26 W, 600.00 W, 600.00 W, 41, 15891 MiB, 97 %, 5, 16
2026/09/22 04:09:06.156, 0, P0, 2325 MHz, 12481 MHz, 347.46 W, 600.00 W, 600.00 W, 42, 15891 MiB, 97 %, 5, 16
2026/09/22 04:09:06.407, 0, P0, 2325 MHz, 12481 MHz, 349.56 W, 600.00 W, 600.00 W, 42, 15891 MiB, 97 %, 5, 16
2026/09/22 04:09:06.658, 0, P0, 2325 MHz, 12481 MHz, 354.09 W, 600.00 W, 600.00 W, 42, 15891 MiB, 97 %, 5, 16
