timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/22 21:58:02.007, 0, P8, 180 MHz, 405 MHz, 33.50 W, 600.00 W, 33, 0 MiB, 0 %
2026/09/22 21:58:03.010, 0, P0, 2362 MHz, 12481 MHz, 63.50 W, 600.00 W, 34, 2611 MiB, 7 %
2026/09/22 21:58:04.010, 0, P0, 2362 MHz, 12481 MHz, 89.74 W, 600.00 W, 35, 6003 MiB, 6 %
2026/09/22 21:58:05.011, 0, P0, 2355 MHz, 12481 MHz, 89.77 W, 600.00 W, 35, 9107 MiB, 6 %
2026/09/22 21:58:06.011, 0, P0, 2347 MHz, 12481 MHz, 89.60 W, 600.00 W, 35, 12211 MiB, 7 %
2026/09/22 21:58:07.012, 0, P0, 2347 MHz, 12481 MHz, 89.40 W, 600.00 W, 35, 14739 MiB, 0 %
2026/09/22 21:58:08.012, 0, P0, 2347 MHz, 12481 MHz, 88.36 W, 600.00 W, 35, 14739 MiB, 0 %
2026/09/22 21:58:09.012, 0, P0, 2422 MHz, 12481 MHz, 368.04 W, 600.00 W, 47, 19571 MiB, 100 %
2026/09/22 21:58:10.013, 0, P0, 2332 MHz, 12481 MHz, 424.79 W, 600.00 W, 43, 19571 MiB, 97 %
2026/09/22 21:58:11.014, 0, P0, 2332 MHz, 12481 MHz, 351.07 W, 600.00 W, 44, 19571 MiB, 97 %
2026/09/22 21:58:12.015, 0, P0, 2332 MHz, 12481 MHz, 355.19 W, 600.00 W, 44, 19571 MiB, 92 %
2026/09/22 21:58:13.016, 0, P0, 2415 MHz, 12481 MHz, 426.97 W, 600.00 W, 50, 19571 MiB, 99 %
2026/09/22 21:58:14.016, 0, P0, 2422 MHz, 12481 MHz, 440.27 W, 600.00 W, 45, 19573 MiB, 97 %
2026/09/22 21:58:15.017, 0, P0, 2422 MHz, 12481 MHz, 321.34 W, 600.00 W, 45, 19573 MiB, 97 %
2026/09/22 21:58:16.018, 0, P0, 2422 MHz, 12481 MHz, 325.38 W, 600.00 W, 45, 19573 MiB, 97 %
2026/09/22 21:58:17.019, 0, P0, 2422 MHz, 12481 MHz, 318.70 W, 600.00 W, 45, 19573 MiB, 97 %
2026/09/22 21:58:18.020, 0, P0, 2422 MHz, 12481 MHz, 325.71 W, 600.00 W, 45, 19573 MiB, 93 %
2026/09/22 21:58:19.021, 0, P0, 2415 MHz, 12481 MHz, 419.10 W, 600.00 W, 52, 19573 MiB, 99 %
2026/09/22 21:58:20.021, 0, P0, 2422 MHz, 12481 MHz, 438.19 W, 600.00 W, 47, 19573 MiB, 97 %
2026/09/22 21:58:21.022, 0, P0, 2422 MHz, 12481 MHz, 315.41 W, 600.00 W, 47, 19573 MiB, 97 %
2026/09/22 21:58:22.023, 0, P0, 2422 MHz, 12481 MHz, 315.98 W, 600.00 W, 47, 19573 MiB, 97 %
2026/09/22 21:58:23.024, 0, P0, 2422 MHz, 12481 MHz, 312.61 W, 600.00 W, 47, 19573 MiB, 97 %
2026/09/22 21:58:24.025, 0, P0, 2422 MHz, 12481 MHz, 318.91 W, 600.00 W, 47, 19573 MiB, 98 %
2026/09/22 21:58:25.026, 0, P0, 2415 MHz, 12481 MHz, 428.73 W, 600.00 W, 54, 19573 MiB, 99 %
2026/09/22 21:58:26.026, 0, P0, 2422 MHz, 12481 MHz, 436.78 W, 600.00 W, 49, 19573 MiB, 97 %
2026/09/22 21:58:27.027, 0, P0, 2422 MHz, 12481 MHz, 318.38 W, 600.00 W, 48, 19573 MiB, 97 %
2026/09/22 21:58:28.028, 0, P0, 2422 MHz, 12481 MHz, 317.48 W, 600.00 W, 48, 19573 MiB, 97 %
2026/09/22 21:58:29.029, 0, P0, 2422 MHz, 12481 MHz, 314.98 W, 600.00 W, 48, 19573 MiB, 97 %
2026/09/22 21:58:30.030, 0, P0, 2422 MHz, 12481 MHz, 320.50 W, 600.00 W, 48, 19573 MiB, 97 %
2026/09/22 21:58:31.031, 0, P0, 2415 MHz, 12481 MHz, 434.37 W, 600.00 W, 55, 19573 MiB, 99 %
2026/09/22 21:58:32.031, 0, P0, 2422 MHz, 12481 MHz, 432.16 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 21:58:33.032, 0, P0, 2422 MHz, 12481 MHz, 320.30 W, 600.00 W, 49, 19573 MiB, 97 %
2026/09/22 21:58:34.033, 0, P0, 2422 MHz, 12481 MHz, 318.49 W, 600.00 W, 49, 19573 MiB, 97 %
2026/09/22 21:58:35.034, 0, P0, 2422 MHz, 12481 MHz, 315.86 W, 600.00 W, 49, 19573 MiB, 97 %
2026/09/22 21:58:36.035, 0, P0, 2422 MHz, 12481 MHz, 321.26 W, 600.00 W, 49, 19573 MiB, 97 %
2026/09/22 21:58:37.036, 0, P0, 2415 MHz, 12481 MHz, 438.24 W, 600.00 W, 56, 19573 MiB, 99 %
