timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 07:40:26.089, 0, P8, 180 MHz, 405 MHz, 26.75 W, 600.00 W, 600.00 W, 25, 2 MiB, 0 %, 1, 16
2026/09/25 07:40:26.343, 0, P8, 180 MHz, 405 MHz, 27.47 W, 600.00 W, 600.00 W, 25, 2 MiB, 0 %, 1, 16
2026/09/25 07:40:26.619, 0, P8, 180 MHz, 405 MHz, 27.47 W, 600.00 W, 600.00 W, 25, 596 MiB, 0 %, 1, 16
2026/09/25 07:40:26.869, 0, P1, 2632 MHz, 13365 MHz, 53.98 W, 600.00 W, 600.00 W, 27, 1110 MiB, 2 %, 5, 16
2026/09/25 07:40:27.123, 0, P1, 2632 MHz, 13365 MHz, 53.98 W, 600.00 W, 600.00 W, 27, 1272 MiB, 2 %, 5, 16
2026/09/25 07:40:27.381, 0, P1, 2625 MHz, 13365 MHz, 116.52 W, 600.00 W, 600.00 W, 27, 1434 MiB, 2 %, 5, 16
2026/09/25 07:40:27.643, 0, P1, 2625 MHz, 13365 MHz, 116.52 W, 600.00 W, 600.00 W, 27, 1598 MiB, 2 %, 5, 16
2026/09/25 07:40:27.902, 0, P1, 2617 MHz, 13365 MHz, 138.83 W, 600.00 W, 600.00 W, 27, 1728 MiB, 2 %, 5, 16
2026/09/25 07:40:28.163, 0, P1, 2617 MHz, 13365 MHz, 138.83 W, 600.00 W, 600.00 W, 27, 1892 MiB, 2 %, 5, 16
2026/09/25 07:40:28.419, 0, P1, 2625 MHz, 13365 MHz, 138.79 W, 600.00 W, 600.00 W, 28, 2054 MiB, 2 %, 5, 16
2026/09/25 07:40:28.681, 0, P1, 2625 MHz, 13365 MHz, 138.79 W, 600.00 W, 600.00 W, 28, 2216 MiB, 2 %, 5, 16
2026/09/25 07:40:28.939, 0, P1, 2625 MHz, 13365 MHz, 138.98 W, 600.00 W, 600.00 W, 28, 2348 MiB, 1 %, 5, 16
2026/09/25 07:40:29.208, 0, P1, 2625 MHz, 13365 MHz, 138.98 W, 600.00 W, 600.00 W, 28, 2510 MiB, 1 %, 5, 16
2026/09/25 07:40:29.459, 0, P1, 2617 MHz, 13365 MHz, 139.07 W, 600.00 W, 600.00 W, 28, 12976 MiB, 2 %, 5, 16
2026/09/25 07:40:29.709, 0, P1, 2617 MHz, 13365 MHz, 139.07 W, 600.00 W, 600.00 W, 28, 13200 MiB, 2 %, 5, 16
2026/09/25 07:40:29.960, 0, P1, 2790 MHz, 13365 MHz, 217.55 W, 600.00 W, 600.00 W, 31, 13200 MiB, 92 %, 5, 16
2026/09/25 07:40:30.210, 0, P1, 2790 MHz, 13365 MHz, 217.55 W, 600.00 W, 600.00 W, 31, 13200 MiB, 92 %, 5, 16
2026/09/25 07:40:30.461, 0, P1, 2842 MHz, 13365 MHz, 355.33 W, 600.00 W, 600.00 W, 30, 13200 MiB, 19 %, 5, 16
2026/09/25 07:40:30.712, 0, P1, 2842 MHz, 13365 MHz, 355.33 W, 600.00 W, 600.00 W, 30, 13200 MiB, 19 %, 5, 16
2026/09/25 07:40:30.964, 0, P1, 2887 MHz, 13365 MHz, 296.63 W, 600.00 W, 600.00 W, 29, 2 MiB, 1 %, 5, 16
2026/09/25 07:40:31.223, 0, P1, 2887 MHz, 13365 MHz, 296.63 W, 600.00 W, 600.00 W, 29, 596 MiB, 1 %, 5, 16
2026/09/25 07:40:31.473, 0, P1, 2887 MHz, 13365 MHz, 191.64 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:31.724, 0, P1, 2887 MHz, 13365 MHz, 191.64 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:31.974, 0, P1, 2887 MHz, 13365 MHz, 192.01 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:32.225, 0, P1, 2887 MHz, 13365 MHz, 192.01 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:32.475, 0, P1, 2655 MHz, 13365 MHz, 173.09 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:32.725, 0, P1, 2655 MHz, 13365 MHz, 173.09 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:32.976, 0, P1, 2610 MHz, 13365 MHz, 169.49 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:33.226, 0, P1, 2610 MHz, 13365 MHz, 169.49 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:33.477, 0, P1, 2610 MHz, 13365 MHz, 169.49 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:33.727, 0, P1, 2610 MHz, 13365 MHz, 169.49 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:33.977, 0, P1, 2610 MHz, 13365 MHz, 135.37 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:34.228, 0, P1, 2610 MHz, 13365 MHz, 135.37 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:34.478, 0, P1, 2610 MHz, 13365 MHz, 135.37 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:34.728, 0, P1, 2610 MHz, 13365 MHz, 135.37 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:34.979, 0, P1, 2610 MHz, 13365 MHz, 135.35 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:35.229, 0, P1, 2610 MHz, 13365 MHz, 135.35 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:35.480, 0, P1, 2610 MHz, 13365 MHz, 135.35 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:35.730, 0, P1, 2610 MHz, 13365 MHz, 135.35 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:35.980, 0, P1, 2610 MHz, 13365 MHz, 135.43 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:36.231, 0, P1, 2610 MHz, 13365 MHz, 135.43 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:36.481, 0, P1, 2610 MHz, 13365 MHz, 135.43 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:36.731, 0, P1, 2610 MHz, 13365 MHz, 135.43 W, 600.00 W, 600.00 W, 28, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:36.982, 0, P1, 2610 MHz, 13365 MHz, 135.41 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:37.232, 0, P1, 2610 MHz, 13365 MHz, 135.41 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:37.483, 0, P1, 2610 MHz, 13365 MHz, 135.41 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:37.733, 0, P1, 2610 MHz, 13365 MHz, 135.41 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:37.983, 0, P1, 2610 MHz, 13365 MHz, 135.53 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:38.234, 0, P1, 2610 MHz, 13365 MHz, 135.53 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:38.484, 0, P1, 2610 MHz, 13365 MHz, 135.53 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:38.734, 0, P1, 2610 MHz, 13365 MHz, 135.53 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:38.985, 0, P1, 2610 MHz, 13365 MHz, 135.56 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:39.235, 0, P1, 2610 MHz, 13365 MHz, 135.56 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:39.486, 0, P1, 2610 MHz, 13365 MHz, 135.56 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:39.736, 0, P1, 2610 MHz, 13365 MHz, 135.56 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:39.987, 0, P1, 2610 MHz, 13365 MHz, 135.63 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:40.237, 0, P1, 2610 MHz, 13365 MHz, 135.63 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:40.487, 0, P1, 2610 MHz, 13365 MHz, 135.63 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:40.738, 0, P1, 2610 MHz, 13365 MHz, 135.63 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:40.988, 0, P1, 2610 MHz, 13365 MHz, 135.73 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:41.239, 0, P1, 2610 MHz, 13365 MHz, 135.73 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:41.489, 0, P1, 2610 MHz, 13365 MHz, 135.73 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:41.739, 0, P1, 2610 MHz, 13365 MHz, 135.73 W, 600.00 W, 600.00 W, 29, 4212 MiB, 0 %, 5, 16
2026/09/25 07:40:42.022, 0, P1, 2610 MHz, 13365 MHz, 135.73 W, 600.00 W, 600.00 W, 29, 4240 MiB, 0 %, 5, 16
2026/09/25 07:40:42.273, 0, P1, 2610 MHz, 13365 MHz, 136.36 W, 600.00 W, 600.00 W, 29, 4240 MiB, 0 %, 5, 16
2026/09/25 07:40:42.523, 0, P1, 2610 MHz, 13365 MHz, 136.36 W, 600.00 W, 600.00 W, 29, 4240 MiB, 0 %, 5, 16
2026/09/25 07:40:42.773, 0, P1, 2610 MHz, 13365 MHz, 136.95 W, 600.00 W, 600.00 W, 29, 4240 MiB, 0 %, 5, 16
