04:26:21.997	C	cpu0 875333 7990 114024 142474070 33802 0 260745 0 0 0
04:26:21.997	C	cpu1 43300675 23154 4776348 95420222 35387 0 11727 0 0 0
04:26:21.997	C	cpu2 951065 6968 87287 142653089 17588 0 11400 0 0 0
04:26:21.997	C	cpu3 2041623 7100 165898 141370443 36067 0 9285 0 0 0
04:26:21.997	C	cpu4 34997841 17382 1714075 106822596 40049 0 5911 0 0 0
04:26:21.997	C	cpu5 1195508 6449 99727 142385130 18115 0 4742 0 0 0
04:26:21.997	C	cpu6 471369 701 57837 143142796 7136 0 2472 0 0 0
04:26:21.997	C	cpu7 383644 267 44275 143275220 4403 0 1479 0 0 0
04:26:21.997	C	cpu8 423693 492 73610 143221744 8685 0 1217 0 0 0
04:26:21.997	C	cpu9 469887 818 79817 143178674 8701 0 1354 0 0 0
04:26:21.997	C	cpu10 327859 273 50731 143376078 5082 0 618 0 0 0
04:26:21.997	C	cpu11 305287 183 43747 143414831 3324 0 374 0 0 0
04:26:21.997	C	cpu12 782338 2764 131025 142787161 14770 0 2292 0 0 0
04:26:21.997	C	cpu13 485572 1674 84064 143159461 9344 0 1420 0 0 0
04:26:21.997	C	cpu14 397598 143 67340 142943525 4296 0 25227 0 0 0
04:26:21.997	C	cpu15 319145 125 53515 143386204 3478 0 982 0 0 0
04:26:21.997	C	cpu16 412822 2101 40290 143232639 26215 0 1105 0 0 0
04:26:21.997	C	cpu17 11136240 4396 2107357 130437620 25704 0 1503 0 0 0
04:26:21.997	C	cpu18 348143 459 33331 143329322 17983 0 725 0 0 0
04:26:21.997	C	cpu19 404216 3841 42693 143204977 43524 0 804 0 0 0
04:26:21.997	C	cpu20 8049592 3574 463046 135176137 26025 0 1185 0 0 0
04:26:21.997	C	cpu21 390134 1956 35582 143277375 19892 0 611 0 0 0
04:26:21.997	C	cpu22 319880 70 27184 143391455 8425 0 289 0 0 0
04:26:21.997	C	cpu23 284015 32 22641 143448507 3556 0 173 0 0 0
04:26:21.997	C	cpu24 308787 130 40563 143410703 8086 0 488 0 0 0
04:26:21.997	C	cpu25 301587 130 41160 143415759 9813 0 328 0 0 0
04:26:21.997	C	cpu26 286794 75 38795 143439569 6904 0 207 0 0 0
04:26:21.997	C	cpu27 271791 99 35152 143462061 4631 0 151 0 0 0
04:26:21.997	C	cpu28 309384 324 38467 143399876 21131 0 189 0 0 0
04:26:21.997	C	cpu29 288505 175 34381 143432608 15369 0 132 0 0 0
04:26:21.997	C	cpu30 248180 64 27435 143492556 6541 0 85 0 0 0
04:26:21.997	C	cpu31 156802 55 119732 143494620 4422 0 114 0 0 0
04:26:21.997	N	6817854054	4954936399
04:26:21.997	SH	HI	
04:26:21.997	SH	TIMER	
04:26:21.997	SH	NET_TX	
04:26:21.997	SH	NET_RX	
04:26:21.997	SH	BLOCK	
04:26:21.997	SH	IRQ_POLL	
04:26:21.997	SH	TASKLET	
04:26:21.997	SH	SCHED	
04:26:21.997	SH	HRTIMER	
04:26:21.997	SH	RCU	
04:26:21.997	DH	0	0	POLL
04:26:21.997	DH	0	1	C1
04:26:21.997	DH	0	2	C2
04:26:21.997	DH	0	3	C3
04:26:21.997	DH	1	0	POLL
04:26:21.997	DH	1	1	C1
04:26:21.997	DH	1	2	C2
04:26:21.997	DH	1	3	C3
04:26:21.997	DH	2	0	POLL
04:26:21.997	DH	2	1	C1
04:26:21.997	DH	2	2	C2
04:26:21.997	DH	2	3	C3
04:26:21.997	DH	3	0	POLL
04:26:21.997	DH	3	1	C1
04:26:21.997	DH	3	2	C2
04:26:21.997	DH	3	3	C3
04:26:21.997	DH	4	0	POLL
04:26:21.997	DH	4	1	C1
04:26:21.997	DH	4	2	C2
04:26:21.997	DH	4	3	C3
04:26:21.997	DH	5	0	POLL
04:26:21.997	DH	5	1	C1
04:26:21.997	DH	5	2	C2
04:26:21.997	DH	5	3	C3
04:26:21.997	DH	6	0	POLL
04:26:21.997	DH	6	1	C1
04:26:21.997	DH	6	2	C2
04:26:21.997	DH	6	3	C3
04:26:21.997	DH	7	0	POLL
04:26:21.997	DH	7	1	C1
04:26:21.997	DH	7	2	C2
04:26:21.997	DH	7	3	C3
04:26:21.997	DH	8	0	POLL
04:26:21.997	DH	8	1	C1
04:26:21.997	DH	8	2	C2
04:26:21.997	DH	8	3	C3
04:26:21.997	DH	9	0	POLL
04:26:21.997	DH	9	1	C1
04:26:21.997	DH	9	2	C2
04:26:21.997	DH	9	3	C3
04:26:21.997	DH	10	0	POLL
04:26:21.997	DH	10	1	C1
04:26:21.997	DH	10	2	C2
04:26:21.997	DH	10	3	C3
04:26:21.997	DH	11	0	POLL
04:26:21.997	DH	11	1	C1
04:26:21.997	DH	11	2	C2
04:26:21.997	DH	11	3	C3
04:26:21.997	DH	12	0	POLL
04:26:21.997	DH	12	1	C1
04:26:21.997	DH	12	2	C2
04:26:21.997	DH	12	3	C3
04:26:21.997	DH	13	0	POLL
04:26:21.997	DH	13	1	C1
04:26:21.997	DH	13	2	C2
04:26:21.997	DH	13	3	C3
04:26:21.997	DH	14	0	POLL
04:26:21.997	DH	14	1	C1
04:26:21.997	DH	14	2	C2
04:26:21.997	DH	14	3	C3
04:26:21.997	DH	15	0	POLL
04:26:21.997	DH	15	1	C1
04:26:21.997	DH	15	2	C2
04:26:21.997	DH	15	3	C3
04:26:21.997	DH	16	0	POLL
04:26:21.997	DH	16	1	C1
04:26:21.997	DH	16	2	C2
04:26:21.997	DH	16	3	C3
04:26:21.997	DH	17	0	POLL
04:26:21.997	DH	17	1	C1
04:26:21.997	DH	17	2	C2
04:26:21.997	DH	17	3	C3
04:26:21.997	DH	18	0	POLL
04:26:21.997	DH	18	1	C1
04:26:21.997	DH	18	2	C2
04:26:21.997	DH	18	3	C3
04:26:21.997	DH	19	0	POLL
04:26:21.997	DH	19	1	C1
04:26:21.997	DH	19	2	C2
04:26:21.997	DH	19	3	C3
04:26:21.997	DH	20	0	POLL
04:26:21.997	DH	20	1	C1
04:26:21.997	DH	20	2	C2
