timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/20 07:54:21.579, 0, P8, 195 MHz, 405 MHz, 14.43 W, 400.00 W, 600.00 W, 25, 2 MiB, 0 %, 1, 16
2026/09/20 07:54:21.841, 0, P8, 195 MHz, 405 MHz, 14.43 W, 400.00 W, 600.00 W, 25, 38 MiB, 0 %, 1, 16
2026/09/20 07:54:22.092, 0, P1, 195 MHz, 405 MHz, 18.38 W, 400.00 W, 600.00 W, 26, 544 MiB, 0 %, 5, 16
2026/09/20 07:54:22.342, 0, P1, 195 MHz, 405 MHz, 18.38 W, 400.00 W, 600.00 W, 27, 992 MiB, 8 %, 5, 16
2026/09/20 07:54:22.632, 0, P1, 2550 MHz, 13801 MHz, 37.38 W, 400.00 W, 600.00 W, 27, 1024 MiB, 8 %, 5, 16
2026/09/20 07:54:22.910, 0, P1, 2550 MHz, 13801 MHz, 63.72 W, 400.00 W, 600.00 W, 27, 1090 MiB, 1 %, 5, 16
2026/09/20 07:54:23.180, 0, P1, 2550 MHz, 13801 MHz, 63.72 W, 400.00 W, 600.00 W, 27, 1154 MiB, 1 %, 5, 16
2026/09/20 07:54:23.452, 0, P1, 2550 MHz, 13801 MHz, 63.73 W, 400.00 W, 600.00 W, 27, 1188 MiB, 0 %, 5, 16
2026/09/20 07:54:23.731, 0, P1, 2550 MHz, 13801 MHz, 63.73 W, 400.00 W, 600.00 W, 27, 1252 MiB, 0 %, 5, 16
2026/09/20 07:54:23.993, 0, P1, 2557 MHz, 13801 MHz, 63.42 W, 400.00 W, 600.00 W, 27, 1286 MiB, 1 %, 5, 16
2026/09/20 07:54:24.244, 0, P1, 2557 MHz, 13801 MHz, 63.42 W, 400.00 W, 600.00 W, 27, 1350 MiB, 1 %, 5, 16
2026/09/20 07:54:24.499, 0, P1, 2550 MHz, 13801 MHz, 63.28 W, 400.00 W, 600.00 W, 27, 1414 MiB, 0 %, 5, 16
2026/09/20 07:54:24.754, 0, P1, 2550 MHz, 13801 MHz, 63.28 W, 400.00 W, 600.00 W, 27, 1448 MiB, 0 %, 5, 16
2026/09/20 07:54:25.004, 0, P1, 2550 MHz, 13801 MHz, 63.42 W, 400.00 W, 600.00 W, 27, 1480 MiB, 0 %, 5, 16
2026/09/20 07:54:25.258, 0, P1, 2550 MHz, 13801 MHz, 63.42 W, 400.00 W, 600.00 W, 27, 1578 MiB, 0 %, 5, 16
2026/09/20 07:54:25.527, 0, P1, 2557 MHz, 13801 MHz, 63.35 W, 400.00 W, 600.00 W, 27, 1610 MiB, 1 %, 5, 16
2026/09/20 07:54:25.778, 0, P1, 2557 MHz, 13801 MHz, 63.35 W, 400.00 W, 600.00 W, 27, 1644 MiB, 1 %, 5, 16
2026/09/20 07:54:26.032, 0, P1, 2550 MHz, 13801 MHz, 63.33 W, 400.00 W, 600.00 W, 27, 1708 MiB, 0 %, 5, 16
2026/09/20 07:54:26.292, 0, P1, 2550 MHz, 13801 MHz, 63.33 W, 400.00 W, 600.00 W, 27, 1774 MiB, 0 %, 5, 16
2026/09/20 07:54:26.543, 0, P1, 2557 MHz, 13801 MHz, 63.50 W, 400.00 W, 600.00 W, 27, 1806 MiB, 1 %, 5, 16
2026/09/20 07:54:26.794, 0, P1, 2557 MHz, 13801 MHz, 63.50 W, 400.00 W, 600.00 W, 27, 1872 MiB, 1 %, 5, 16
2026/09/20 07:54:27.053, 0, P1, 2550 MHz, 13801 MHz, 63.63 W, 400.00 W, 600.00 W, 27, 1904 MiB, 1 %, 5, 16
2026/09/20 07:54:27.304, 0, P1, 2550 MHz, 13801 MHz, 63.63 W, 400.00 W, 600.00 W, 27, 1970 MiB, 1 %, 5, 16
2026/09/20 07:54:27.556, 0, P1, 2550 MHz, 13801 MHz, 63.45 W, 400.00 W, 600.00 W, 27, 2034 MiB, 0 %, 5, 16
2026/09/20 07:54:27.811, 0, P1, 2550 MHz, 13801 MHz, 63.45 W, 400.00 W, 600.00 W, 27, 2068 MiB, 0 %, 5, 16
2026/09/20 07:54:28.064, 0, P1, 2557 MHz, 13801 MHz, 63.27 W, 400.00 W, 600.00 W, 27, 2100 MiB, 1 %, 5, 16
2026/09/20 07:54:28.331, 0, P1, 2557 MHz, 13801 MHz, 63.27 W, 400.00 W, 600.00 W, 27, 2196 MiB, 1 %, 5, 16
2026/09/20 07:54:28.591, 0, P1, 2550 MHz, 13801 MHz, 63.10 W, 400.00 W, 600.00 W, 27, 2230 MiB, 0 %, 5, 16
2026/09/20 07:54:28.842, 0, P1, 2550 MHz, 13801 MHz, 63.10 W, 400.00 W, 600.00 W, 27, 2262 MiB, 0 %, 5, 16
2026/09/20 07:54:29.095, 0, P1, 2550 MHz, 13801 MHz, 63.06 W, 400.00 W, 600.00 W, 27, 2296 MiB, 1 %, 5, 16
2026/09/20 07:54:29.346, 0, P1, 2550 MHz, 13801 MHz, 63.06 W, 400.00 W, 600.00 W, 27, 2392 MiB, 1 %, 5, 16
2026/09/20 07:54:29.596, 0, P1, 2550 MHz, 13801 MHz, 63.45 W, 400.00 W, 600.00 W, 27, 2426 MiB, 0 %, 5, 16
2026/09/20 07:54:29.890, 0, P1, 2550 MHz, 13801 MHz, 63.40 W, 400.00 W, 600.00 W, 27, 2458 MiB, 1 %, 5, 16
2026/09/20 07:54:30.140, 0, P1, 2550 MHz, 13801 MHz, 63.40 W, 400.00 W, 600.00 W, 27, 2492 MiB, 1 %, 5, 16
2026/09/20 07:54:30.391, 0, P1, 2550 MHz, 13801 MHz, 65.30 W, 400.00 W, 600.00 W, 27, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:30.642, 0, P1, 2550 MHz, 13801 MHz, 65.30 W, 400.00 W, 600.00 W, 27, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:30.892, 0, P1, 2542 MHz, 13801 MHz, 67.74 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:31.143, 0, P1, 2542 MHz, 13801 MHz, 67.74 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:31.394, 0, P1, 2542 MHz, 13801 MHz, 67.41 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:31.645, 0, P1, 2542 MHz, 13801 MHz, 67.41 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:31.895, 0, P1, 2542 MHz, 13801 MHz, 62.82 W, 400.00 W, 600.00 W, 27, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:32.146, 0, P1, 2542 MHz, 13801 MHz, 62.82 W, 400.00 W, 600.00 W, 27, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:32.397, 0, P1, 2542 MHz, 13801 MHz, 62.61 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:32.647, 0, P1, 2542 MHz, 13801 MHz, 62.61 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:32.898, 0, P1, 2542 MHz, 13801 MHz, 62.45 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:33.149, 0, P1, 2542 MHz, 13801 MHz, 62.45 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:33.399, 0, P1, 2542 MHz, 13801 MHz, 62.18 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:33.650, 0, P1, 2542 MHz, 13801 MHz, 62.18 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:33.901, 0, P1, 2542 MHz, 13801 MHz, 62.38 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:34.151, 0, P1, 2542 MHz, 13801 MHz, 62.38 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:34.402, 0, P1, 2542 MHz, 13801 MHz, 62.56 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:34.653, 0, P1, 2542 MHz, 13801 MHz, 62.56 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:34.903, 0, P1, 2542 MHz, 13801 MHz, 62.56 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
2026/09/20 07:54:35.154, 0, P1, 2542 MHz, 13801 MHz, 62.56 W, 400.00 W, 600.00 W, 28, 4252 MiB, 0 %, 5, 16
