timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 22:20:58.307, 0, P0, 1590 MHz, 14001 MHz, 53.96 W, [N/A], 175.00 W, 58, 15 MiB, 0 %, 5, 8
2026/09/21 22:20:58.562, 0, P0, 1590 MHz, 14001 MHz, 53.96 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:20:58.820, 0, P0, 1590 MHz, 14001 MHz, 53.96 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:20:59.071, 0, P0, 1590 MHz, 14001 MHz, 29.35 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:20:59.322, 0, P0, 1590 MHz, 14001 MHz, 29.35 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:20:59.573, 0, P0, 1590 MHz, 14001 MHz, 28.94 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:20:59.824, 0, P0, 1590 MHz, 14001 MHz, 28.94 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:00.075, 0, P0, 1590 MHz, 14001 MHz, 28.62 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:00.326, 0, P0, 1590 MHz, 14001 MHz, 28.62 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:00.577, 0, P0, 1590 MHz, 14001 MHz, 28.62 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:00.828, 0, P0, 1590 MHz, 14001 MHz, 28.62 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:01.079, 0, P0, 1590 MHz, 14001 MHz, 28.32 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:01.330, 0, P0, 1590 MHz, 14001 MHz, 28.32 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:01.580, 0, P0, 1590 MHz, 14001 MHz, 28.32 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:01.831, 0, P0, 1590 MHz, 14001 MHz, 28.32 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:02.082, 0, P0, 1590 MHz, 14001 MHz, 28.35 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:02.333, 0, P0, 1590 MHz, 14001 MHz, 28.35 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:02.584, 0, P0, 1590 MHz, 14001 MHz, 28.35 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:02.835, 0, P0, 1590 MHz, 14001 MHz, 28.35 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:03.086, 0, P0, 1590 MHz, 14001 MHz, 28.39 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:03.337, 0, P0, 1590 MHz, 14001 MHz, 28.39 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:03.588, 0, P0, 1590 MHz, 14001 MHz, 28.39 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:03.839, 0, P0, 1590 MHz, 14001 MHz, 28.39 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:04.090, 0, P0, 1590 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:04.340, 0, P0, 1590 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:04.591, 0, P0, 1590 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:04.842, 0, P0, 1590 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:05.093, 0, P0, 1590 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:05.344, 0, P0, 1590 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:05.595, 0, P0, 1590 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:05.846, 0, P0, 1590 MHz, 14001 MHz, 28.47 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:06.097, 0, P0, 1590 MHz, 14001 MHz, 28.44 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:06.348, 0, P0, 1590 MHz, 14001 MHz, 28.44 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:06.599, 0, P0, 1590 MHz, 14001 MHz, 28.44 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:06.853, 0, P0, 1590 MHz, 14001 MHz, 28.44 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:07.104, 0, P0, 1590 MHz, 14001 MHz, 28.46 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:07.355, 0, P0, 1590 MHz, 14001 MHz, 28.46 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:07.606, 0, P0, 1590 MHz, 14001 MHz, 28.46 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:07.857, 0, P0, 1590 MHz, 14001 MHz, 28.46 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
2026/09/21 22:21:08.108, 0, P0, 1590 MHz, 14001 MHz, 28.52 W, [N/A], 175.00 W, 58, 277 MiB, 0 %, 5, 8
