timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 22:21:14.372, 0, P0, 1590 MHz, 14001 MHz, 28.60 W, [N/A], 175.00 W, 59, 15 MiB, 1 %, 5, 8
2026/09/21 22:21:14.628, 0, P0, 1590 MHz, 14001 MHz, 28.60 W, [N/A], 175.00 W, 59, 15 MiB, 1 %, 5, 8
2026/09/21 22:21:14.915, 0, P0, 1590 MHz, 14001 MHz, 28.60 W, [N/A], 175.00 W, 59, 313 MiB, 1 %, 5, 8
2026/09/21 22:21:15.166, 0, P0, 1590 MHz, 14001 MHz, 29.33 W, [N/A], 175.00 W, 59, 1113 MiB, 0 %, 5, 8
2026/09/21 22:21:15.417, 0, P0, 1590 MHz, 14001 MHz, 29.33 W, [N/A], 175.00 W, 59, 1593 MiB, 0 %, 5, 8
2026/09/21 22:21:15.669, 0, P0, 1597 MHz, 14001 MHz, 29.08 W, [N/A], 175.00 W, 59, 2041 MiB, 8 %, 5, 8
2026/09/21 22:21:15.920, 0, P0, 1597 MHz, 14001 MHz, 29.08 W, [N/A], 175.00 W, 59, 2521 MiB, 8 %, 5, 8
2026/09/21 22:21:16.171, 0, P0, 1597 MHz, 14001 MHz, 29.24 W, [N/A], 175.00 W, 59, 3033 MiB, 7 %, 5, 8
2026/09/21 22:21:16.422, 0, P0, 1597 MHz, 14001 MHz, 29.24 W, [N/A], 175.00 W, 59, 3513 MiB, 7 %, 5, 8
2026/09/21 22:21:16.673, 0, P0, 1605 MHz, 14001 MHz, 29.32 W, [N/A], 175.00 W, 59, 4025 MiB, 7 %, 5, 8
2026/09/21 22:21:16.924, 0, P0, 1605 MHz, 14001 MHz, 29.32 W, [N/A], 175.00 W, 59, 4665 MiB, 7 %, 5, 8
2026/09/21 22:21:17.175, 0, P0, 1612 MHz, 14001 MHz, 29.62 W, [N/A], 175.00 W, 60, 6585 MiB, 13 %, 5, 8
2026/09/21 22:21:17.426, 0, P0, 1612 MHz, 14001 MHz, 29.62 W, [N/A], 175.00 W, 60, 9721 MiB, 13 %, 5, 8
2026/09/21 22:21:17.677, 0, P0, 1882 MHz, 14001 MHz, 163.58 W, [N/A], 175.00 W, 69, 9721 MiB, 100 %, 5, 8
2026/09/21 22:21:17.928, 0, P0, 1882 MHz, 14001 MHz, 163.58 W, [N/A], 175.00 W, 69, 9721 MiB, 100 %, 5, 8
2026/09/21 22:21:18.181, 0, P0, 1957 MHz, 14001 MHz, 162.63 W, [N/A], 175.00 W, 72, 9753 MiB, 100 %, 5, 8
2026/09/21 22:21:18.432, 0, P0, 1957 MHz, 14001 MHz, 162.63 W, [N/A], 175.00 W, 72, 9753 MiB, 100 %, 5, 8
2026/09/21 22:21:18.684, 0, P0, 1612 MHz, 14001 MHz, 141.68 W, [N/A], 175.00 W, 67, 8473 MiB, 98 %, 5, 8
2026/09/21 22:21:18.935, 0, P0, 1612 MHz, 14001 MHz, 141.68 W, [N/A], 175.00 W, 67, 8633 MiB, 98 %, 5, 8
2026/09/21 22:21:19.186, 0, P0, 1665 MHz, 14001 MHz, 101.68 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/21 22:21:19.437, 0, P0, 1665 MHz, 14001 MHz, 101.68 W, [N/A], 175.00 W, 63, 15 MiB, 0 %, 5, 8
2026/09/21 22:21:19.688, 0, P0, 1590 MHz, 14001 MHz, 59.21 W, [N/A], 175.00 W, 62, 15 MiB, 0 %, 5, 8
