timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 00:05:34.064, 0, P8, 180 MHz, 405 MHz, 9.48 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:34.322, 0, P8, 180 MHz, 405 MHz, 9.48 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:34.574, 0, P8, 180 MHz, 405 MHz, 9.48 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:34.825, 0, P8, 180 MHz, 405 MHz, 9.53 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:35.077, 0, P8, 180 MHz, 405 MHz, 9.53 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:35.328, 0, P8, 180 MHz, 405 MHz, 9.53 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:35.580, 0, P8, 180 MHz, 405 MHz, 9.53 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:35.832, 0, P8, 180 MHz, 405 MHz, 9.49 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:36.083, 0, P8, 180 MHz, 405 MHz, 9.49 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:36.335, 0, P8, 180 MHz, 405 MHz, 9.49 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:36.586, 0, P8, 180 MHz, 405 MHz, 9.49 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:36.838, 0, P8, 180 MHz, 405 MHz, 9.49 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:37.089, 0, P8, 180 MHz, 405 MHz, 9.49 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:37.341, 0, P8, 180 MHz, 405 MHz, 9.49 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:37.592, 0, P8, 180 MHz, 405 MHz, 9.49 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:37.844, 0, P8, 180 MHz, 405 MHz, 9.53 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:38.096, 0, P8, 180 MHz, 405 MHz, 9.53 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:38.347, 0, P8, 180 MHz, 405 MHz, 9.53 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:38.599, 0, P8, 180 MHz, 405 MHz, 9.53 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:38.850, 0, P8, 180 MHz, 405 MHz, 9.59 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
2026/09/22 00:05:39.102, 0, P8, 180 MHz, 405 MHz, 9.59 W, [N/A], 175.00 W, 56, 15 MiB, 0 %, 1, 8
