timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/22 15:47:30.879, 0, P0, 1590 MHz, 14001 MHz, 27.70 W, [N/A], 55, 15 MiB, 0 %
2026/09/22 15:47:31.883, 0, P0, 1597 MHz, 14001 MHz, 28.74 W, [N/A], 55, 3673 MiB, 9 %
2026/09/22 15:47:32.884, 0, P0, 1597 MHz, 14001 MHz, 35.96 W, [N/A], 57, 9721 MiB, 49 %
2026/09/22 15:47:33.885, 0, P0, 2182 MHz, 14001 MHz, 169.26 W, [N/A], 63, 8377 MiB, 99 %
2026/09/22 15:47:34.886, 0, P0, 1590 MHz, 14001 MHz, 58.01 W, [N/A], 57, 8377 MiB, 0 %
2026/09/22 15:47:35.887, 0, P0, 2017 MHz, 14001 MHz, 81.24 W, [N/A], 64, 8985 MiB, 56 %
2026/09/22 15:47:36.888, 0, P0, 2190 MHz, 14001 MHz, 154.84 W, [N/A], 66, 8985 MiB, 95 %
2026/09/22 15:47:37.889, 0, P0, 2137 MHz, 14001 MHz, 160.75 W, [N/A], 67, 15 MiB, 95 %
2026/09/22 15:47:38.890, 0, P0, 1590 MHz, 14001 MHz, 55.69 W, [N/A], 58, 313 MiB, 0 %
2026/09/22 15:47:39.891, 0, P0, 1650 MHz, 14001 MHz, 30.23 W, [N/A], 58, 4345 MiB, 24 %
2026/09/22 15:47:40.892, 0, P0, 1590 MHz, 14001 MHz, 35.68 W, [N/A], 58, 6585 MiB, 0 %
2026/09/22 15:47:41.892, 0, P0, 1590 MHz, 14001 MHz, 33.92 W, [N/A], 58, 9721 MiB, 0 %
2026/09/22 15:47:42.895, 0, P0, 2182 MHz, 14001 MHz, 108.78 W, [N/A], 72, 8377 MiB, 100 %
2026/09/22 15:47:43.896, 0, P0, 1590 MHz, 14001 MHz, 86.64 W, [N/A], 59, 8377 MiB, 0 %
2026/09/22 15:47:44.897, 0, P0, 1590 MHz, 14001 MHz, 38.07 W, [N/A], 59, 8697 MiB, 0 %
2026/09/22 15:47:45.898, 0, P0, 2100 MHz, 14001 MHz, 93.04 W, [N/A], 67, 8985 MiB, 90 %
2026/09/22 15:47:46.899, 0, P0, 1987 MHz, 14001 MHz, 131.66 W, [N/A], 66, 8985 MiB, 56 %
2026/09/22 15:47:47.901, 0, P0, 2175 MHz, 14001 MHz, 148.90 W, [N/A], 68, 15 MiB, 98 %
2026/09/22 15:47:48.902, 0, P0, 1590 MHz, 14001 MHz, 43.60 W, [N/A], 60, 313 MiB, 0 %
2026/09/22 15:47:49.903, 0, P0, 1672 MHz, 14001 MHz, 30.86 W, [N/A], 60, 4793 MiB, 24 %
2026/09/22 15:47:50.904, 0, P0, 1590 MHz, 14001 MHz, 35.24 W, [N/A], 60, 6585 MiB, 0 %
2026/09/22 15:47:51.905, 0, P0, 1590 MHz, 14001 MHz, 34.08 W, [N/A], 59, 9721 MiB, 0 %
2026/09/22 15:47:52.906, 0, P0, 2167 MHz, 14001 MHz, 115.38 W, [N/A], 73, 8377 MiB, 100 %
2026/09/22 15:47:53.907, 0, P0, 1590 MHz, 14001 MHz, 81.76 W, [N/A], 60, 8377 MiB, 0 %
2026/09/22 15:47:54.908, 0, P0, 1590 MHz, 14001 MHz, 38.83 W, [N/A], 60, 8697 MiB, 0 %
2026/09/22 15:47:55.909, 0, P0, 1905 MHz, 14001 MHz, 90.08 W, [N/A], 64, 8985 MiB, 32 %
2026/09/22 15:47:56.910, 0, P0, 2055 MHz, 14001 MHz, 137.11 W, [N/A], 69, 8985 MiB, 97 %
2026/09/22 15:47:57.911, 0, P0, 2047 MHz, 14001 MHz, 151.89 W, [N/A], 69, 15 MiB, 99 %
2026/09/22 15:47:58.912, 0, P0, 1590 MHz, 14001 MHz, 46.53 W, [N/A], 61, 313 MiB, 0 %
2026/09/22 15:47:59.914, 0, P0, 1665 MHz, 14001 MHz, 31.17 W, [N/A], 61, 4953 MiB, 24 %
2026/09/22 15:48:00.915, 0, P0, 2182 MHz, 14001 MHz, 82.20 W, [N/A], 74, 9753 MiB, 100 %
2026/09/22 15:48:01.917, 0, P0, 1650 MHz, 14001 MHz, 139.63 W, [N/A], 63, 8377 MiB, 0 %
2026/09/22 15:48:02.918, 0, P0, 1590 MHz, 14001 MHz, 48.60 W, [N/A], 61, 8697 MiB, 0 %
2026/09/22 15:48:03.919, 0, P0, 2077 MHz, 14001 MHz, 118.96 W, [N/A], 69, 8985 MiB, 84 %
2026/09/22 15:48:04.922, 0, P0, 1987 MHz, 14001 MHz, 161.90 W, [N/A], 68, 8985 MiB, 80 %
2026/09/22 15:48:05.925, 0, P0, 1597 MHz, 14001 MHz, 124.85 W, [N/A], 63, 15 MiB, 0 %
