timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 22:47:19.164, 0, P8, 180 MHz, 405 MHz, 8.74 W, [N/A], 175.00 W, 51, 15 MiB, 0 %, 1, 8
2026/09/22 22:47:19.423, 0, P8, 180 MHz, 405 MHz, 8.74 W, [N/A], 175.00 W, 51, 15 MiB, 0 %, 1, 8
2026/09/22 22:47:19.675, 0, P8, 180 MHz, 405 MHz, 8.74 W, [N/A], 175.00 W, 51, 15 MiB, 0 %, 1, 8
2026/09/22 22:47:19.926, 0, P8, 180 MHz, 405 MHz, 8.74 W, [N/A], 175.00 W, 51, 15 MiB, 0 %, 1, 8
2026/09/22 22:47:20.177, 0, P8, 180 MHz, 405 MHz, 9.16 W, [N/A], 175.00 W, 51, 311 MiB, 0 %, 1, 8
2026/09/22 22:47:20.428, 0, P8, 180 MHz, 405 MHz, 9.16 W, [N/A], 175.00 W, 51, 313 MiB, 0 %, 1, 8
2026/09/22 22:47:20.679, 0, P0, 1590 MHz, 14001 MHz, 28.32 W, [N/A], 175.00 W, 52, 1113 MiB, 0 %, 5, 8
2026/09/22 22:47:20.930, 0, P0, 1590 MHz, 14001 MHz, 28.32 W, [N/A], 175.00 W, 52, 1273 MiB, 0 %, 5, 8
2026/09/22 22:47:21.181, 0, P0, 1590 MHz, 14001 MHz, 28.30 W, [N/A], 175.00 W, 52, 1881 MiB, 11 %, 5, 8
2026/09/22 22:47:21.433, 0, P0, 1590 MHz, 14001 MHz, 28.30 W, [N/A], 175.00 W, 52, 2521 MiB, 11 %, 5, 8
2026/09/22 22:47:21.684, 0, P0, 1597 MHz, 14001 MHz, 28.26 W, [N/A], 175.00 W, 52, 3033 MiB, 8 %, 5, 8
2026/09/22 22:47:21.935, 0, P0, 1597 MHz, 14001 MHz, 28.26 W, [N/A], 175.00 W, 52, 3641 MiB, 8 %, 5, 8
2026/09/22 22:47:22.186, 0, P0, 1605 MHz, 14001 MHz, 28.37 W, [N/A], 175.00 W, 52, 3993 MiB, 5 %, 5, 8
2026/09/22 22:47:22.437, 0, P0, 1605 MHz, 14001 MHz, 28.37 W, [N/A], 175.00 W, 52, 4313 MiB, 5 %, 5, 8
2026/09/22 22:47:22.688, 0, P0, 1597 MHz, 14001 MHz, 28.17 W, [N/A], 175.00 W, 52, 4793 MiB, 7 %, 5, 8
2026/09/22 22:47:22.939, 0, P0, 1597 MHz, 14001 MHz, 28.17 W, [N/A], 175.00 W, 52, 6585 MiB, 7 %, 5, 8
2026/09/22 22:47:23.190, 0, P0, 1792 MHz, 14001 MHz, 33.71 W, [N/A], 175.00 W, 53, 6585 MiB, 0 %, 5, 8
2026/09/22 22:47:23.441, 0, P0, 1792 MHz, 14001 MHz, 33.71 W, [N/A], 175.00 W, 53, 6585 MiB, 0 %, 5, 8
2026/09/22 22:47:23.692, 0, P0, 1590 MHz, 14001 MHz, 33.48 W, [N/A], 175.00 W, 52, 6585 MiB, 0 %, 5, 8
2026/09/22 22:47:23.943, 0, P0, 1590 MHz, 14001 MHz, 33.48 W, [N/A], 175.00 W, 52, 7385 MiB, 0 %, 5, 8
2026/09/22 22:47:24.194, 0, P0, 1612 MHz, 14001 MHz, 27.95 W, [N/A], 175.00 W, 52, 9753 MiB, 25 %, 5, 8
2026/09/22 22:47:24.446, 0, P0, 1612 MHz, 14001 MHz, 27.95 W, [N/A], 175.00 W, 52, 9753 MiB, 25 %, 5, 8
2026/09/22 22:47:24.697, 0, P0, 2205 MHz, 14001 MHz, 96.26 W, [N/A], 175.00 W, 65, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:24.950, 0, P0, 2205 MHz, 14001 MHz, 96.26 W, [N/A], 175.00 W, 65, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:25.201, 0, P0, 2197 MHz, 14001 MHz, 174.32 W, [N/A], 175.00 W, 63, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:25.453, 0, P0, 2197 MHz, 14001 MHz, 174.32 W, [N/A], 175.00 W, 63, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:25.705, 0, P0, 2362 MHz, 14001 MHz, 168.96 W, [N/A], 175.00 W, 62, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:25.956, 0, P0, 2362 MHz, 14001 MHz, 168.96 W, [N/A], 175.00 W, 62, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:26.209, 0, P0, 2092 MHz, 14001 MHz, 167.01 W, [N/A], 175.00 W, 61, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:26.461, 0, P0, 2092 MHz, 14001 MHz, 167.01 W, [N/A], 175.00 W, 61, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:26.713, 0, P0, 2265 MHz, 14001 MHz, 172.67 W, [N/A], 175.00 W, 62, 9753 MiB, 99 %, 5, 8
2026/09/22 22:47:26.965, 0, P0, 2265 MHz, 14001 MHz, 172.67 W, [N/A], 175.00 W, 62, 9753 MiB, 99 %, 5, 8
2026/09/22 22:47:27.217, 0, P0, 2122 MHz, 14001 MHz, 170.13 W, [N/A], 175.00 W, 62, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:27.469, 0, P0, 2122 MHz, 14001 MHz, 170.13 W, [N/A], 175.00 W, 62, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:27.721, 0, P0, 2235 MHz, 14001 MHz, 172.66 W, [N/A], 175.00 W, 63, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:27.973, 0, P0, 2235 MHz, 14001 MHz, 172.66 W, [N/A], 175.00 W, 63, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:28.225, 0, P0, 2145 MHz, 14001 MHz, 171.86 W, [N/A], 175.00 W, 63, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:28.477, 0, P0, 2145 MHz, 14001 MHz, 171.86 W, [N/A], 175.00 W, 63, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:28.728, 0, P0, 2115 MHz, 14001 MHz, 171.99 W, [N/A], 175.00 W, 67, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:28.979, 0, P0, 2115 MHz, 14001 MHz, 171.99 W, [N/A], 175.00 W, 67, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:29.230, 0, P0, 2085 MHz, 14001 MHz, 171.15 W, [N/A], 175.00 W, 68, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:29.482, 0, P0, 2085 MHz, 14001 MHz, 171.15 W, [N/A], 175.00 W, 68, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:29.734, 0, P0, 2190 MHz, 14001 MHz, 171.64 W, [N/A], 175.00 W, 65, 9753 MiB, 100 %, 5, 8
2026/09/22 22:47:29.985, 0, P0, 2190 MHz, 14001 MHz, 171.64 W, [N/A], 175.00 W, 65, 9753 MiB, 100 %, 5, 8
