timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 02:31:38.207, 0, P4, 1590 MHz, 9001 MHz, 45.71 W, [N/A], 175.00 W, 64, 2 MiB, 0 %, 5, 8
2026/09/26 02:31:38.463, 0, P4, 1590 MHz, 9001 MHz, 37.16 W, [N/A], 175.00 W, 64, 4 MiB, 0 %, 5, 8
2026/09/26 02:31:38.716, 0, P4, 1590 MHz, 9001 MHz, 37.16 W, [N/A], 175.00 W, 64, 300 MiB, 0 %, 5, 8
2026/09/26 02:31:38.967, 0, P4, 1642 MHz, 9001 MHz, 27.14 W, [N/A], 175.00 W, 64, 300 MiB, 0 %, 5, 8
2026/09/26 02:31:39.217, 0, P4, 1642 MHz, 9001 MHz, 27.14 W, [N/A], 175.00 W, 64, 300 MiB, 0 %, 5, 8
2026/09/26 02:31:39.468, 0, P4, 1590 MHz, 9001 MHz, 25.06 W, [N/A], 175.00 W, 63, 716 MiB, 0 %, 5, 8
2026/09/26 02:31:39.719, 0, P4, 1590 MHz, 9001 MHz, 25.06 W, [N/A], 175.00 W, 63, 716 MiB, 0 %, 5, 8
2026/09/26 02:31:39.971, 0, P4, 1605 MHz, 9001 MHz, 22.56 W, [N/A], 175.00 W, 63, 716 MiB, 2 %, 5, 8
2026/09/26 02:31:40.222, 0, P4, 1605 MHz, 9001 MHz, 22.56 W, [N/A], 175.00 W, 63, 748 MiB, 2 %, 5, 8
2026/09/26 02:31:40.473, 0, P4, 1590 MHz, 9001 MHz, 21.46 W, [N/A], 175.00 W, 63, 844 MiB, 2 %, 5, 8
2026/09/26 02:31:40.724, 0, P4, 1590 MHz, 9001 MHz, 21.46 W, [N/A], 175.00 W, 63, 1196 MiB, 2 %, 5, 8
2026/09/26 02:31:40.975, 0, P4, 1680 MHz, 9001 MHz, 22.64 W, [N/A], 175.00 W, 63, 1612 MiB, 5 %, 5, 8
2026/09/26 02:31:41.227, 0, P4, 1680 MHz, 9001 MHz, 22.64 W, [N/A], 175.00 W, 63, 2028 MiB, 5 %, 5, 8
2026/09/26 02:31:41.478, 0, P4, 1822 MHz, 9001 MHz, 24.85 W, [N/A], 175.00 W, 63, 3980 MiB, 8 %, 5, 8
2026/09/26 02:31:41.729, 0, P4, 1822 MHz, 9001 MHz, 24.85 W, [N/A], 175.00 W, 63, 3980 MiB, 8 %, 5, 8
2026/09/26 02:31:41.980, 0, P4, 1807 MHz, 9001 MHz, 27.62 W, [N/A], 175.00 W, 63, 3980 MiB, 0 %, 5, 8
2026/09/26 02:31:42.231, 0, P4, 1807 MHz, 9001 MHz, 27.62 W, [N/A], 175.00 W, 63, 3980 MiB, 0 %, 5, 8
2026/09/26 02:31:42.482, 0, P4, 1590 MHz, 9001 MHz, 25.04 W, [N/A], 175.00 W, 63, 4010 MiB, 0 %, 5, 8
2026/09/26 02:31:42.745, 0, P4, 1590 MHz, 9001 MHz, 25.04 W, [N/A], 175.00 W, 63, 3980 MiB, 0 %, 5, 8
2026/09/26 02:31:43.022, 0, P4, 1597 MHz, 9001 MHz, 22.00 W, [N/A], 175.00 W, 63, 3980 MiB, 2 %, 5, 8
2026/09/26 02:31:43.273, 0, P4, 1597 MHz, 9001 MHz, 22.00 W, [N/A], 175.00 W, 63, 3980 MiB, 2 %, 5, 8
2026/09/26 02:31:43.524, 0, P4, 1590 MHz, 9001 MHz, 21.97 W, [N/A], 175.00 W, 63, 3980 MiB, 0 %, 5, 8
2026/09/26 02:31:43.776, 0, P4, 1590 MHz, 9001 MHz, 21.97 W, [N/A], 175.00 W, 63, 3980 MiB, 0 %, 5, 8
2026/09/26 02:31:44.027, 0, P4, 1590 MHz, 9001 MHz, 20.06 W, [N/A], 175.00 W, 63, 3980 MiB, 0 %, 5, 8
2026/09/26 02:31:44.278, 0, P4, 1590 MHz, 9001 MHz, 20.06 W, [N/A], 175.00 W, 63, 3980 MiB, 0 %, 5, 8
