timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 04:59:49.791, 0, P5, 172 MHz, 9001 MHz, 18.01 W, [N/A], 175.00 W, 64, 2 MiB, 0 %, 2, 8
2026/09/26 04:59:50.051, 0, P5, 172 MHz, 9001 MHz, 18.01 W, [N/A], 175.00 W, 64, 2 MiB, 0 %, 2, 8
2026/09/26 04:59:50.315, 0, P5, 172 MHz, 9001 MHz, 18.01 W, [N/A], 175.00 W, 64, 300 MiB, 0 %, 2, 8
2026/09/26 04:59:50.566, 0, P4, 1170 MHz, 9001 MHz, 17.29 W, [N/A], 175.00 W, 63, 748 MiB, 0 %, 5, 8
2026/09/26 04:59:50.820, 0, P4, 1170 MHz, 9001 MHz, 17.29 W, [N/A], 175.00 W, 63, 846 MiB, 0 %, 5, 8
2026/09/26 04:59:51.071, 0, P4, 1642 MHz, 9001 MHz, 18.54 W, [N/A], 175.00 W, 63, 944 MiB, 2 %, 5, 8
2026/09/26 04:59:51.323, 0, P4, 1642 MHz, 9001 MHz, 18.54 W, [N/A], 175.00 W, 63, 1040 MiB, 2 %, 5, 8
2026/09/26 04:59:51.574, 0, P4, 1627 MHz, 9001 MHz, 21.16 W, [N/A], 175.00 W, 63, 1138 MiB, 2 %, 5, 8
2026/09/26 04:59:51.825, 0, P4, 1627 MHz, 9001 MHz, 21.16 W, [N/A], 175.00 W, 63, 1236 MiB, 2 %, 5, 8
2026/09/26 04:59:52.076, 0, P4, 1635 MHz, 9001 MHz, 21.23 W, [N/A], 175.00 W, 63, 1334 MiB, 4 %, 5, 8
2026/09/26 04:59:52.327, 0, P4, 1635 MHz, 9001 MHz, 21.23 W, [N/A], 175.00 W, 63, 1400 MiB, 4 %, 5, 8
2026/09/26 04:59:52.578, 0, P4, 1642 MHz, 9001 MHz, 21.17 W, [N/A], 175.00 W, 63, 1530 MiB, 2 %, 5, 8
2026/09/26 04:59:52.836, 0, P4, 1642 MHz, 9001 MHz, 21.17 W, [N/A], 175.00 W, 63, 1628 MiB, 2 %, 5, 8
2026/09/26 04:59:53.101, 0, P4, 1650 MHz, 9001 MHz, 21.38 W, [N/A], 175.00 W, 63, 1726 MiB, 2 %, 5, 8
2026/09/26 04:59:53.356, 0, P4, 1650 MHz, 9001 MHz, 21.38 W, [N/A], 175.00 W, 63, 1822 MiB, 2 %, 5, 8
2026/09/26 04:59:53.607, 0, P4, 1635 MHz, 9001 MHz, 21.39 W, [N/A], 175.00 W, 63, 1920 MiB, 2 %, 5, 8
2026/09/26 04:59:53.858, 0, P4, 1635 MHz, 9001 MHz, 21.39 W, [N/A], 175.00 W, 63, 2018 MiB, 2 %, 5, 8
2026/09/26 04:59:54.117, 0, P4, 1642 MHz, 9001 MHz, 21.22 W, [N/A], 175.00 W, 63, 2084 MiB, 2 %, 5, 8
2026/09/26 04:59:54.369, 0, P4, 1642 MHz, 9001 MHz, 21.22 W, [N/A], 175.00 W, 63, 2214 MiB, 2 %, 5, 8
2026/09/26 04:59:54.620, 0, P4, 1642 MHz, 9001 MHz, 21.09 W, [N/A], 175.00 W, 63, 4456 MiB, 2 %, 5, 8
