timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 13:50:03.650, 0, P4, 247 MHz, 9001 MHz, 21.61 W, [N/A], 175.00 W, 74, 85 MiB, 2 %, 5, 8
2026/09/26 13:50:03.904, 0, P4, 247 MHz, 9001 MHz, 21.61 W, [N/A], 175.00 W, 74, 85 MiB, 2 %, 5, 8
2026/09/26 13:50:04.155, 0, P0, 322 MHz, 14001 MHz, 23.36 W, [N/A], 175.00 W, 75, 381 MiB, 3 %, 5, 8
2026/09/26 13:50:04.406, 0, P0, 322 MHz, 14001 MHz, 23.36 W, [N/A], 175.00 W, 75, 381 MiB, 3 %, 5, 8
2026/09/26 13:50:04.657, 0, P0, 1605 MHz, 14001 MHz, 29.11 W, [N/A], 175.00 W, 75, 381 MiB, 2 %, 5, 8
2026/09/26 13:50:04.908, 0, P0, 1605 MHz, 14001 MHz, 29.11 W, [N/A], 175.00 W, 75, 381 MiB, 2 %, 5, 8
2026/09/26 13:50:05.159, 0, P0, 1605 MHz, 14001 MHz, 34.04 W, [N/A], 175.00 W, 74, 797 MiB, 4 %, 5, 8
2026/09/26 13:50:05.410, 0, P0, 1605 MHz, 14001 MHz, 34.04 W, [N/A], 175.00 W, 74, 829 MiB, 4 %, 5, 8
2026/09/26 13:50:05.664, 0, P0, 1627 MHz, 14001 MHz, 33.95 W, [N/A], 175.00 W, 74, 861 MiB, 2 %, 5, 8
2026/09/26 13:50:05.923, 0, P0, 1627 MHz, 14001 MHz, 33.95 W, [N/A], 175.00 W, 74, 927 MiB, 2 %, 5, 8
2026/09/26 13:50:06.174, 0, P0, 1635 MHz, 14001 MHz, 34.16 W, [N/A], 175.00 W, 74, 991 MiB, 2 %, 5, 8
2026/09/26 13:50:06.425, 0, P0, 1635 MHz, 14001 MHz, 34.16 W, [N/A], 175.00 W, 74, 991 MiB, 2 %, 5, 8
2026/09/26 13:50:06.676, 0, P0, 1627 MHz, 14001 MHz, 33.87 W, [N/A], 175.00 W, 74, 1025 MiB, 1 %, 5, 8
2026/09/26 13:50:06.927, 0, P0, 1627 MHz, 14001 MHz, 33.87 W, [N/A], 175.00 W, 74, 1057 MiB, 1 %, 5, 8
2026/09/26 13:50:07.187, 0, P0, 1620 MHz, 14001 MHz, 33.73 W, [N/A], 175.00 W, 74, 1089 MiB, 3 %, 5, 8
2026/09/26 13:50:07.475, 0, P0, 1620 MHz, 14001 MHz, 33.73 W, [N/A], 175.00 W, 74, 1121 MiB, 3 %, 5, 8
2026/09/26 13:50:07.726, 0, P0, 1612 MHz, 14001 MHz, 33.58 W, [N/A], 175.00 W, 74, 1123 MiB, 4 %, 5, 8
2026/09/26 13:50:07.977, 0, P0, 1612 MHz, 14001 MHz, 33.58 W, [N/A], 175.00 W, 74, 1187 MiB, 4 %, 5, 8
2026/09/26 13:50:08.228, 0, P0, 1612 MHz, 14001 MHz, 33.55 W, [N/A], 175.00 W, 74, 1219 MiB, 3 %, 5, 8
2026/09/26 13:50:08.487, 0, P0, 1612 MHz, 14001 MHz, 33.55 W, [N/A], 175.00 W, 74, 1253 MiB, 3 %, 5, 8
2026/09/26 13:50:08.738, 0, P0, 1627 MHz, 14001 MHz, 33.66 W, [N/A], 175.00 W, 73, 1285 MiB, 3 %, 5, 8
2026/09/26 13:50:08.988, 0, P0, 1627 MHz, 14001 MHz, 33.66 W, [N/A], 175.00 W, 73, 1317 MiB, 3 %, 5, 8
2026/09/26 13:50:09.253, 0, P0, 1620 MHz, 14001 MHz, 33.68 W, [N/A], 175.00 W, 73, 1383 MiB, 2 %, 5, 8
2026/09/26 13:50:09.520, 0, P0, 1620 MHz, 14001 MHz, 33.68 W, [N/A], 175.00 W, 73, 1415 MiB, 2 %, 5, 8
2026/09/26 13:50:09.771, 0, P0, 1642 MHz, 14001 MHz, 33.60 W, [N/A], 175.00 W, 73, 1449 MiB, 1 %, 5, 8
2026/09/26 13:50:10.022, 0, P0, 1642 MHz, 14001 MHz, 33.60 W, [N/A], 175.00 W, 73, 1481 MiB, 1 %, 5, 8
2026/09/26 13:50:10.273, 0, P0, 1620 MHz, 14001 MHz, 33.47 W, [N/A], 175.00 W, 73, 1513 MiB, 2 %, 5, 8
2026/09/26 13:50:10.524, 0, P0, 1620 MHz, 14001 MHz, 33.47 W, [N/A], 175.00 W, 73, 1545 MiB, 2 %, 5, 8
2026/09/26 13:50:10.775, 0, P0, 1627 MHz, 14001 MHz, 33.33 W, [N/A], 175.00 W, 73, 1611 MiB, 1 %, 5, 8
2026/09/26 13:50:11.038, 0, P0, 1627 MHz, 14001 MHz, 33.33 W, [N/A], 175.00 W, 73, 1643 MiB, 1 %, 5, 8
2026/09/26 13:50:11.297, 0, P0, 1605 MHz, 14001 MHz, 33.39 W, [N/A], 175.00 W, 73, 1677 MiB, 2 %, 5, 8
2026/09/26 13:50:11.548, 0, P0, 1605 MHz, 14001 MHz, 33.39 W, [N/A], 175.00 W, 73, 1709 MiB, 2 %, 5, 8
2026/09/26 13:50:11.799, 0, P0, 1635 MHz, 14001 MHz, 33.47 W, [N/A], 175.00 W, 73, 1773 MiB, 1 %, 5, 8
2026/09/26 13:50:12.050, 0, P0, 1635 MHz, 14001 MHz, 33.47 W, [N/A], 175.00 W, 73, 1839 MiB, 1 %, 5, 8
2026/09/26 13:50:12.311, 0, P0, 1642 MHz, 14001 MHz, 33.68 W, [N/A], 175.00 W, 73, 1871 MiB, 4 %, 5, 8
2026/09/26 13:50:12.562, 0, P0, 1642 MHz, 14001 MHz, 33.68 W, [N/A], 175.00 W, 73, 1905 MiB, 4 %, 5, 8
2026/09/26 13:50:12.813, 0, P0, 1635 MHz, 14001 MHz, 33.49 W, [N/A], 175.00 W, 72, 1937 MiB, 2 %, 5, 8
2026/09/26 13:50:13.064, 0, P0, 1635 MHz, 14001 MHz, 33.49 W, [N/A], 175.00 W, 72, 2001 MiB, 2 %, 5, 8
2026/09/26 13:50:13.315, 0, P0, 1620 MHz, 14001 MHz, 33.38 W, [N/A], 175.00 W, 72, 2033 MiB, 4 %, 5, 8
2026/09/26 13:50:13.568, 0, P0, 1620 MHz, 14001 MHz, 33.38 W, [N/A], 175.00 W, 72, 2067 MiB, 4 %, 5, 8
2026/09/26 13:50:13.834, 0, P0, 1612 MHz, 14001 MHz, 33.20 W, [N/A], 175.00 W, 72, 2099 MiB, 4 %, 5, 8
2026/09/26 13:50:14.085, 0, P0, 1612 MHz, 14001 MHz, 33.20 W, [N/A], 175.00 W, 72, 2131 MiB, 4 %, 5, 8
2026/09/26 13:50:14.336, 0, P0, 1620 MHz, 14001 MHz, 33.10 W, [N/A], 175.00 W, 72, 2133 MiB, 2 %, 5, 8
2026/09/26 13:50:14.587, 0, P0, 1620 MHz, 14001 MHz, 33.10 W, [N/A], 175.00 W, 72, 2165 MiB, 2 %, 5, 8
2026/09/26 13:50:14.838, 0, P0, 1627 MHz, 14001 MHz, 32.95 W, [N/A], 175.00 W, 72, 2229 MiB, 0 %, 5, 8
2026/09/26 13:50:15.117, 0, P0, 1627 MHz, 14001 MHz, 32.95 W, [N/A], 175.00 W, 72, 2263 MiB, 0 %, 5, 8
