timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/20 23:54:10.210, 0, P0, 2422 MHz, 12481 MHz, 123.18 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:10.464, 0, P0, 2422 MHz, 12481 MHz, 89.54 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:10.714, 0, P0, 2422 MHz, 12481 MHz, 89.25 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:10.964, 0, P0, 2422 MHz, 12481 MHz, 88.95 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:11.215, 0, P0, 2422 MHz, 12481 MHz, 88.95 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:11.465, 0, P0, 2422 MHz, 12481 MHz, 88.95 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:11.715, 0, P0, 2422 MHz, 12481 MHz, 88.95 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:11.966, 0, P0, 660 MHz, 12481 MHz, 54.73 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:12.216, 0, P0, 660 MHz, 12481 MHz, 54.73 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:12.467, 0, P0, 660 MHz, 12481 MHz, 54.73 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:12.717, 0, P0, 660 MHz, 12481 MHz, 54.73 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:12.968, 0, P0, 420 MHz, 12481 MHz, 53.98 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:13.218, 0, P0, 420 MHz, 12481 MHz, 53.98 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:13.469, 0, P0, 420 MHz, 12481 MHz, 53.98 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:13.719, 0, P0, 420 MHz, 12481 MHz, 53.98 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:13.970, 0, P0, 262 MHz, 12481 MHz, 52.74 W, 600.00 W, 600.00 W, 42, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:14.220, 0, P0, 262 MHz, 12481 MHz, 52.74 W, 600.00 W, 600.00 W, 42, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:14.471, 0, P0, 262 MHz, 12481 MHz, 52.74 W, 600.00 W, 600.00 W, 42, 0 MiB, 0 %, 5, 16
2026/09/20 23:54:14.721, 0, P0, 262 MHz, 12481 MHz, 52.74 W, 600.00 W, 600.00 W, 42, 0 MiB, 0 %, 5, 16
