timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 17:49:17.019, 0, P8, 180 MHz, 405 MHz, 11.32 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:17.276, 0, P8, 180 MHz, 405 MHz, 11.32 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:17.527, 0, P8, 180 MHz, 405 MHz, 11.32 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:17.778, 0, P8, 180 MHz, 405 MHz, 11.32 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:18.029, 0, P8, 180 MHz, 405 MHz, 11.23 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:18.280, 0, P8, 180 MHz, 405 MHz, 11.23 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:18.531, 0, P8, 180 MHz, 405 MHz, 11.23 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:18.782, 0, P8, 180 MHz, 405 MHz, 11.23 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:19.033, 0, P8, 180 MHz, 405 MHz, 11.22 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:19.284, 0, P8, 180 MHz, 405 MHz, 11.22 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:19.534, 0, P8, 180 MHz, 405 MHz, 11.22 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:19.785, 0, P8, 180 MHz, 405 MHz, 11.22 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:20.036, 0, P8, 180 MHz, 405 MHz, 11.03 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:20.287, 0, P8, 180 MHz, 405 MHz, 11.03 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:49:20.538, 0, P8, 180 MHz, 405 MHz, 11.03 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
