timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 17:50:16.873, 0, P8, 180 MHz, 405 MHz, 11.64 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:17.129, 0, P8, 180 MHz, 405 MHz, 11.63 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:17.380, 0, P8, 180 MHz, 405 MHz, 11.63 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:17.631, 0, P8, 180 MHz, 405 MHz, 11.63 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:17.882, 0, P8, 180 MHz, 405 MHz, 11.63 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:18.133, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:18.384, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:18.634, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:18.885, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:19.136, 0, P8, 180 MHz, 405 MHz, 11.15 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:19.387, 0, P8, 180 MHz, 405 MHz, 11.15 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:19.638, 0, P8, 180 MHz, 405 MHz, 11.15 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:19.889, 0, P8, 180 MHz, 405 MHz, 11.15 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:20.139, 0, P8, 180 MHz, 405 MHz, 11.38 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:20.390, 0, P8, 180 MHz, 405 MHz, 11.38 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:20.641, 0, P8, 180 MHz, 405 MHz, 11.38 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:20.892, 0, P8, 180 MHz, 405 MHz, 11.38 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:21.143, 0, P8, 180 MHz, 405 MHz, 11.23 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
2026/09/25 17:50:21.394, 0, P8, 180 MHz, 405 MHz, 11.23 W, 600.00 W, 600.00 W, 31, 2 MiB, 0 %, 1, 16
