timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 19:47:20.135, 0, P8, 180 MHz, 405 MHz, 11.81 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:20.391, 0, P8, 180 MHz, 405 MHz, 11.81 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:20.642, 0, P8, 180 MHz, 405 MHz, 11.81 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:20.893, 0, P8, 180 MHz, 405 MHz, 11.53 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:21.144, 0, P8, 180 MHz, 405 MHz, 11.53 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:21.395, 0, P8, 180 MHz, 405 MHz, 11.53 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:21.646, 0, P8, 180 MHz, 405 MHz, 11.53 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:21.897, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:22.148, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:22.399, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:22.650, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:22.900, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:23.151, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:23.402, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:23.653, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:23.904, 0, P8, 180 MHz, 405 MHz, 11.55 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:24.155, 0, P8, 180 MHz, 405 MHz, 11.55 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:24.406, 0, P8, 180 MHz, 405 MHz, 11.55 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:24.657, 0, P8, 180 MHz, 405 MHz, 11.55 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:24.908, 0, P8, 180 MHz, 405 MHz, 11.39 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:25.159, 0, P8, 180 MHz, 405 MHz, 11.39 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:25.409, 0, P8, 180 MHz, 405 MHz, 11.39 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:25.660, 0, P8, 180 MHz, 405 MHz, 11.39 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:25.911, 0, P8, 180 MHz, 405 MHz, 11.67 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:26.162, 0, P8, 180 MHz, 405 MHz, 11.67 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:26.413, 0, P8, 180 MHz, 405 MHz, 11.67 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:26.664, 0, P8, 180 MHz, 405 MHz, 11.67 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:26.915, 0, P8, 180 MHz, 405 MHz, 11.52 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:27.166, 0, P8, 180 MHz, 405 MHz, 11.52 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:27.417, 0, P8, 180 MHz, 405 MHz, 11.52 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:27.668, 0, P8, 180 MHz, 405 MHz, 11.52 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:27.918, 0, P8, 180 MHz, 405 MHz, 11.49 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:28.169, 0, P8, 180 MHz, 405 MHz, 11.49 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:28.420, 0, P8, 180 MHz, 405 MHz, 11.49 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:28.671, 0, P8, 180 MHz, 405 MHz, 11.49 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:28.922, 0, P8, 180 MHz, 405 MHz, 11.83 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:29.173, 0, P8, 180 MHz, 405 MHz, 11.83 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:29.424, 0, P8, 180 MHz, 405 MHz, 11.83 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:29.675, 0, P8, 180 MHz, 405 MHz, 11.83 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:29.926, 0, P8, 180 MHz, 405 MHz, 11.68 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:30.176, 0, P8, 180 MHz, 405 MHz, 11.68 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:30.427, 0, P8, 180 MHz, 405 MHz, 11.68 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:30.678, 0, P8, 180 MHz, 405 MHz, 11.68 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:30.929, 0, P8, 180 MHz, 405 MHz, 11.60 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:31.180, 0, P8, 180 MHz, 405 MHz, 11.60 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:31.431, 0, P8, 180 MHz, 405 MHz, 11.60 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:31.682, 0, P8, 180 MHz, 405 MHz, 11.60 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:31.933, 0, P8, 180 MHz, 405 MHz, 11.61 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:32.184, 0, P8, 180 MHz, 405 MHz, 11.61 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:32.435, 0, P8, 180 MHz, 405 MHz, 11.61 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:32.686, 0, P8, 180 MHz, 405 MHz, 11.61 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:32.937, 0, P8, 180 MHz, 405 MHz, 11.51 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:33.188, 0, P8, 180 MHz, 405 MHz, 11.51 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:33.439, 0, P8, 180 MHz, 405 MHz, 11.51 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:33.690, 0, P8, 180 MHz, 405 MHz, 11.51 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:33.941, 0, P8, 180 MHz, 405 MHz, 11.26 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:34.192, 0, P8, 180 MHz, 405 MHz, 11.26 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:34.443, 0, P8, 180 MHz, 405 MHz, 11.26 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:34.694, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:34.945, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:35.195, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:35.446, 0, P8, 180 MHz, 405 MHz, 11.41 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:35.697, 0, P8, 180 MHz, 405 MHz, 11.08 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:35.948, 0, P8, 180 MHz, 405 MHz, 11.08 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:36.199, 0, P8, 180 MHz, 405 MHz, 11.08 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:36.450, 0, P8, 180 MHz, 405 MHz, 11.08 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:36.701, 0, P8, 180 MHz, 405 MHz, 11.19 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:36.952, 0, P8, 180 MHz, 405 MHz, 11.19 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:37.203, 0, P8, 180 MHz, 405 MHz, 11.19 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:37.454, 0, P8, 180 MHz, 405 MHz, 11.19 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:37.705, 0, P8, 180 MHz, 405 MHz, 10.90 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:37.956, 0, P8, 180 MHz, 405 MHz, 10.90 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:38.207, 0, P8, 180 MHz, 405 MHz, 10.90 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:38.458, 0, P8, 180 MHz, 405 MHz, 10.90 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:38.709, 0, P8, 180 MHz, 405 MHz, 10.60 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:38.960, 0, P8, 180 MHz, 405 MHz, 10.60 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:39.211, 0, P8, 180 MHz, 405 MHz, 10.60 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:39.462, 0, P8, 180 MHz, 405 MHz, 10.60 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:39.713, 0, P8, 180 MHz, 405 MHz, 10.93 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:39.963, 0, P8, 180 MHz, 405 MHz, 10.93 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:40.214, 0, P8, 180 MHz, 405 MHz, 10.93 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:40.465, 0, P8, 180 MHz, 405 MHz, 10.93 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:40.716, 0, P8, 180 MHz, 405 MHz, 10.85 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:40.967, 0, P8, 180 MHz, 405 MHz, 10.85 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:41.218, 0, P8, 180 MHz, 405 MHz, 10.85 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:41.469, 0, P8, 180 MHz, 405 MHz, 10.85 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:41.720, 0, P8, 180 MHz, 405 MHz, 10.87 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:41.971, 0, P8, 180 MHz, 405 MHz, 10.87 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:42.222, 0, P8, 180 MHz, 405 MHz, 10.87 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:42.473, 0, P8, 180 MHz, 405 MHz, 10.87 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:42.724, 0, P8, 180 MHz, 405 MHz, 10.96 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:42.975, 0, P8, 180 MHz, 405 MHz, 10.96 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
2026/09/25 19:47:43.226, 0, P8, 180 MHz, 405 MHz, 10.96 W, 600.00 W, 600.00 W, 34, 2 MiB, 0 %, 1, 16
