timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 18:59:03.696, 0, P8, 180 MHz, 405 MHz, 10.53 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:03.952, 0, P8, 180 MHz, 405 MHz, 10.49 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:04.203, 0, P8, 180 MHz, 405 MHz, 10.49 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:04.454, 0, P8, 180 MHz, 405 MHz, 10.49 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:04.705, 0, P8, 180 MHz, 405 MHz, 10.49 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:04.956, 0, P8, 180 MHz, 405 MHz, 10.32 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:05.207, 0, P8, 180 MHz, 405 MHz, 10.32 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:05.458, 0, P8, 180 MHz, 405 MHz, 10.32 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:05.709, 0, P8, 180 MHz, 405 MHz, 10.32 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:05.960, 0, P8, 180 MHz, 405 MHz, 10.54 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:06.211, 0, P8, 180 MHz, 405 MHz, 10.54 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 18:59:06.462, 0, P8, 180 MHz, 405 MHz, 10.54 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
