timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 23:07:09.524, 0, P8, 180 MHz, 405 MHz, 10.31 W, 600.00 W, 600.00 W, 33, 2 MiB, 0 %, 1, 16
2026/09/25 23:07:09.781, 0, P8, 180 MHz, 405 MHz, 10.31 W, 600.00 W, 600.00 W, 33, 40 MiB, 0 %, 1, 16
2026/09/25 23:07:10.031, 0, P1, 180 MHz, 405 MHz, 14.80 W, 600.00 W, 600.00 W, 34, 1556 MiB, 1 %, 5, 16
2026/09/25 23:07:10.282, 0, P1, 180 MHz, 405 MHz, 14.80 W, 600.00 W, 600.00 W, 34, 4948 MiB, 1 %, 5, 16
2026/09/25 23:07:10.532, 0, P1, 2737 MHz, 13365 MHz, 45.07 W, 600.00 W, 600.00 W, 35, 4948 MiB, 23 %, 5, 16
2026/09/25 23:07:10.783, 0, P1, 2737 MHz, 13365 MHz, 45.07 W, 600.00 W, 600.00 W, 35, 4948 MiB, 23 %, 5, 16
2026/09/25 23:07:11.033, 0, P1, 2872 MHz, 13365 MHz, 95.62 W, 600.00 W, 600.00 W, 36, 4948 MiB, 15 %, 5, 16
2026/09/25 23:07:11.284, 0, P1, 2872 MHz, 13365 MHz, 95.62 W, 600.00 W, 600.00 W, 36, 4948 MiB, 15 %, 5, 16
2026/09/25 23:07:11.534, 0, P1, 2872 MHz, 13365 MHz, 100.48 W, 600.00 W, 600.00 W, 36, 4948 MiB, 14 %, 5, 16
2026/09/25 23:07:11.784, 0, P1, 2872 MHz, 13365 MHz, 100.48 W, 600.00 W, 600.00 W, 36, 4948 MiB, 14 %, 5, 16
2026/09/25 23:07:12.035, 0, P1, 2872 MHz, 13365 MHz, 100.50 W, 600.00 W, 600.00 W, 36, 4948 MiB, 14 %, 5, 16
2026/09/25 23:07:12.285, 0, P1, 2872 MHz, 13365 MHz, 100.50 W, 600.00 W, 600.00 W, 36, 4948 MiB, 14 %, 5, 16
2026/09/25 23:07:12.536, 0, P1, 2872 MHz, 13365 MHz, 100.50 W, 600.00 W, 600.00 W, 36, 4948 MiB, 14 %, 5, 16
