timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 23:04:24.092, 0, P8, 180 MHz, 405 MHz, 10.70 W, 600.00 W, 600.00 W, 32, 2 MiB, 0 %, 1, 16
2026/09/25 23:04:24.348, 0, P8, 180 MHz, 405 MHz, 10.70 W, 600.00 W, 600.00 W, 32, 560 MiB, 0 %, 1, 16
2026/09/25 23:04:24.601, 0, P1, 180 MHz, 405 MHz, 11.58 W, 600.00 W, 600.00 W, 32, 1876 MiB, 0 %, 5, 16
2026/09/25 23:04:24.852, 0, P1, 180 MHz, 405 MHz, 11.58 W, 600.00 W, 600.00 W, 32, 4948 MiB, 0 %, 5, 16
2026/09/25 23:04:25.102, 0, P1, 2677 MHz, 13365 MHz, 45.77 W, 600.00 W, 600.00 W, 34, 4948 MiB, 13 %, 5, 16
2026/09/25 23:04:25.353, 0, P1, 2677 MHz, 13365 MHz, 45.77 W, 600.00 W, 600.00 W, 34, 4948 MiB, 13 %, 5, 16
2026/09/25 23:04:25.603, 0, P1, 2872 MHz, 13365 MHz, 96.56 W, 600.00 W, 600.00 W, 34, 4948 MiB, 37 %, 5, 16
2026/09/25 23:04:25.854, 0, P1, 2872 MHz, 13365 MHz, 96.56 W, 600.00 W, 600.00 W, 34, 4948 MiB, 37 %, 5, 16
2026/09/25 23:04:26.104, 0, P1, 2872 MHz, 13365 MHz, 105.62 W, 600.00 W, 600.00 W, 35, 4948 MiB, 46 %, 5, 16
2026/09/25 23:04:26.356, 0, P1, 2872 MHz, 13365 MHz, 105.62 W, 600.00 W, 600.00 W, 35, 4948 MiB, 46 %, 5, 16
2026/09/25 23:04:26.606, 0, P1, 2872 MHz, 13365 MHz, 107.59 W, 600.00 W, 600.00 W, 35, 4948 MiB, 42 %, 5, 16
