timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 13:24:59.157, 0, P1, 2872 MHz, 13365 MHz, 127.79 W, 600.00 W, 600.00 W, 43, 2 MiB, 86 %, 5, 16
2026/09/26 13:24:59.410, 0, P0, 2872 MHz, 13365 MHz, 115.32 W, 600.00 W, 600.00 W, 42, 2 MiB, 0 %, 5, 16
2026/09/26 13:24:59.660, 0, P0, 2872 MHz, 13365 MHz, 115.32 W, 600.00 W, 600.00 W, 42, 2 MiB, 0 %, 5, 16
2026/09/26 13:24:59.910, 0, P0, 2872 MHz, 14001 MHz, 99.44 W, 600.00 W, 600.00 W, 42, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:00.160, 0, P0, 2872 MHz, 14001 MHz, 99.44 W, 600.00 W, 600.00 W, 42, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:00.411, 0, P0, 2872 MHz, 14001 MHz, 99.25 W, 600.00 W, 600.00 W, 42, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:00.661, 0, P0, 2872 MHz, 14001 MHz, 99.25 W, 600.00 W, 600.00 W, 42, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:00.912, 0, P0, 2872 MHz, 14001 MHz, 99.25 W, 600.00 W, 600.00 W, 42, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:01.162, 0, P0, 2872 MHz, 14001 MHz, 99.25 W, 600.00 W, 600.00 W, 42, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:01.413, 0, P0, 2242 MHz, 14001 MHz, 85.96 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:01.663, 0, P0, 2242 MHz, 14001 MHz, 85.96 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:01.914, 0, P0, 2242 MHz, 14001 MHz, 85.96 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:02.164, 0, P0, 2242 MHz, 14001 MHz, 85.96 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:02.414, 0, P0, 405 MHz, 14001 MHz, 39.71 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:02.665, 0, P0, 405 MHz, 14001 MHz, 39.71 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:02.915, 0, P0, 405 MHz, 14001 MHz, 39.71 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:03.166, 0, P0, 405 MHz, 14001 MHz, 39.71 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:03.416, 0, P3, 255 MHz, 14001 MHz, 39.63 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:03.667, 0, P3, 255 MHz, 14001 MHz, 39.63 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:03.918, 0, P5, 255 MHz, 14001 MHz, 39.63 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 2, 16
2026/09/26 13:25:04.169, 0, P5, 255 MHz, 14001 MHz, 39.63 W, 600.00 W, 600.00 W, 40, 2 MiB, 0 %, 2, 16
2026/09/26 13:25:04.419, 0, P5, 180 MHz, 810 MHz, 31.00 W, 600.00 W, 600.00 W, 39, 2 MiB, 0 %, 2, 16
