timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 17:45:49.096, 0, P0, 1785 MHz, 14001 MHz, 41.01 W, [N/A], 175.00 W, 74, 85 MiB, 10 %, 5, 8
2026/09/26 17:45:49.351, 0, P0, 1785 MHz, 14001 MHz, 41.01 W, [N/A], 175.00 W, 74, 85 MiB, 10 %, 5, 8
2026/09/26 17:45:49.603, 0, P0, 1785 MHz, 14001 MHz, 41.25 W, [N/A], 175.00 W, 73, 130 MiB, 8 %, 5, 8
2026/09/26 17:45:49.856, 0, P0, 1785 MHz, 14001 MHz, 41.25 W, [N/A], 175.00 W, 73, 708 MiB, 8 %, 5, 8
2026/09/26 17:45:50.108, 0, P0, 1927 MHz, 14001 MHz, 40.82 W, [N/A], 175.00 W, 74, 829 MiB, 7 %, 5, 8
2026/09/26 17:45:50.361, 0, P0, 1927 MHz, 14001 MHz, 40.82 W, [N/A], 175.00 W, 74, 1631 MiB, 7 %, 5, 8
2026/09/26 17:45:50.613, 0, P0, 1770 MHz, 14001 MHz, 40.97 W, [N/A], 175.00 W, 73, 2751 MiB, 14 %, 5, 8
2026/09/26 17:45:50.865, 0, P0, 1770 MHz, 14001 MHz, 40.97 W, [N/A], 175.00 W, 73, 3585 MiB, 14 %, 5, 8
2026/09/26 17:45:51.120, 0, P0, 1807 MHz, 14001 MHz, 40.24 W, [N/A], 175.00 W, 73, 4387 MiB, 22 %, 5, 8
2026/09/26 17:45:51.372, 0, P0, 1807 MHz, 14001 MHz, 40.24 W, [N/A], 175.00 W, 73, 5157 MiB, 22 %, 5, 8
2026/09/26 17:45:51.627, 0, P0, 1785 MHz, 14001 MHz, 40.58 W, [N/A], 175.00 W, 73, 5957 MiB, 22 %, 5, 8
2026/09/26 17:45:51.880, 0, P0, 1785 MHz, 14001 MHz, 40.58 W, [N/A], 175.00 W, 73, 6759 MiB, 22 %, 5, 8
