timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 09:20:44.763, 0, P8, 180 MHz, 405 MHz, 10.97 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:45.020, 0, P8, 180 MHz, 405 MHz, 10.97 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:45.271, 0, P8, 180 MHz, 405 MHz, 10.97 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:45.523, 0, P8, 180 MHz, 405 MHz, 10.97 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:45.774, 0, P8, 180 MHz, 405 MHz, 11.07 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:46.026, 0, P8, 180 MHz, 405 MHz, 11.07 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:46.278, 0, P8, 180 MHz, 405 MHz, 11.07 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:46.530, 0, P8, 180 MHz, 405 MHz, 11.07 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:46.781, 0, P8, 180 MHz, 405 MHz, 10.98 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:47.033, 0, P8, 180 MHz, 405 MHz, 10.98 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:47.284, 0, P8, 180 MHz, 405 MHz, 10.98 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:47.536, 0, P8, 180 MHz, 405 MHz, 10.98 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:47.788, 0, P8, 180 MHz, 405 MHz, 10.93 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:48.039, 0, P8, 180 MHz, 405 MHz, 10.93 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:48.291, 0, P8, 180 MHz, 405 MHz, 10.93 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:48.543, 0, P8, 180 MHz, 405 MHz, 10.93 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:48.794, 0, P8, 180 MHz, 405 MHz, 10.88 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:49.046, 0, P8, 180 MHz, 405 MHz, 10.88 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:49.298, 0, P8, 180 MHz, 405 MHz, 10.88 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:49.550, 0, P8, 180 MHz, 405 MHz, 10.88 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:49.801, 0, P8, 180 MHz, 405 MHz, 10.82 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:50.053, 0, P8, 180 MHz, 405 MHz, 10.82 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:50.305, 0, P8, 180 MHz, 405 MHz, 10.82 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:50.557, 0, P8, 180 MHz, 405 MHz, 10.82 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:50.808, 0, P8, 180 MHz, 405 MHz, 10.85 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:51.060, 0, P8, 180 MHz, 405 MHz, 10.85 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:51.312, 0, P8, 180 MHz, 405 MHz, 10.85 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:51.563, 0, P8, 180 MHz, 405 MHz, 10.85 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:51.815, 0, P8, 180 MHz, 405 MHz, 10.91 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:52.067, 0, P8, 180 MHz, 405 MHz, 10.91 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:52.318, 0, P8, 180 MHz, 405 MHz, 10.91 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:52.570, 0, P8, 180 MHz, 405 MHz, 10.91 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:52.821, 0, P8, 180 MHz, 405 MHz, 10.94 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:53.073, 0, P8, 180 MHz, 405 MHz, 10.94 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:53.325, 0, P8, 180 MHz, 405 MHz, 10.94 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:53.577, 0, P8, 180 MHz, 405 MHz, 10.94 W, [N/A], 175.00 W, 67, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:53.828, 0, P8, 180 MHz, 405 MHz, 10.97 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:54.080, 0, P8, 180 MHz, 405 MHz, 10.97 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:54.332, 0, P8, 180 MHz, 405 MHz, 10.97 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:54.583, 0, P8, 180 MHz, 405 MHz, 10.97 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:54.835, 0, P8, 180 MHz, 405 MHz, 10.99 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:55.087, 0, P8, 180 MHz, 405 MHz, 10.99 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:55.338, 0, P8, 180 MHz, 405 MHz, 10.99 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:55.590, 0, P8, 180 MHz, 405 MHz, 10.99 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:55.842, 0, P8, 180 MHz, 405 MHz, 10.94 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:56.093, 0, P8, 180 MHz, 405 MHz, 10.94 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:56.345, 0, P8, 180 MHz, 405 MHz, 10.94 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:56.596, 0, P8, 180 MHz, 405 MHz, 10.94 W, [N/A], 175.00 W, 66, 2 MiB, 0 %, 1, 8
2026/09/26 09:20:56.848, 0, P8, 180 MHz, 405 MHz, 10.76 W, [N/A], 175.00 W, 66, 70 MiB, 0 %, 1, 8
2026/09/26 09:20:57.099, 0, P8, 180 MHz, 405 MHz, 10.76 W, [N/A], 175.00 W, 66, 300 MiB, 0 %, 1, 8
2026/09/26 09:20:57.350, 0, P4, 1620 MHz, 9001 MHz, 13.75 W, [N/A], 175.00 W, 66, 780 MiB, 0 %, 5, 8
2026/09/26 09:20:57.601, 0, P4, 1620 MHz, 9001 MHz, 13.75 W, [N/A], 175.00 W, 66, 1324 MiB, 0 %, 5, 8
2026/09/26 09:20:57.852, 0, P4, 1860 MHz, 9001 MHz, 20.80 W, [N/A], 175.00 W, 66, 1836 MiB, 9 %, 5, 8
2026/09/26 09:20:58.103, 0, P4, 1860 MHz, 9001 MHz, 20.80 W, [N/A], 175.00 W, 66, 3916 MiB, 9 %, 5, 8
2026/09/26 09:20:58.354, 0, P0, 1935 MHz, 9001 MHz, 31.12 W, [N/A], 175.00 W, 67, 4460 MiB, 29 %, 5, 8
2026/09/26 09:20:58.605, 0, P0, 1935 MHz, 9001 MHz, 31.12 W, [N/A], 175.00 W, 67, 4492 MiB, 29 %, 5, 8
2026/09/26 09:20:58.856, 0, P0, 2730 MHz, 14001 MHz, 48.52 W, [N/A], 175.00 W, 75, 4492 MiB, 23 %, 5, 8
2026/09/26 09:20:59.107, 0, P0, 2730 MHz, 14001 MHz, 48.52 W, [N/A], 175.00 W, 75, 4492 MiB, 23 %, 5, 8
2026/09/26 09:20:59.358, 0, P4, 2745 MHz, 9001 MHz, 66.81 W, [N/A], 175.00 W, 70, 4492 MiB, 27 %, 5, 8
2026/09/26 09:20:59.609, 0, P4, 2745 MHz, 9001 MHz, 66.81 W, [N/A], 175.00 W, 70, 4492 MiB, 27 %, 5, 8
2026/09/26 09:20:59.860, 0, P0, 2730 MHz, 14001 MHz, 71.75 W, [N/A], 175.00 W, 71, 4492 MiB, 30 %, 5, 8
