timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 10:05:45.171, 0, P4, 1590 MHz, 9001 MHz, 35.10 W, [N/A], 175.00 W, 79, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:45.425, 0, P4, 1590 MHz, 9001 MHz, 35.10 W, [N/A], 175.00 W, 79, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:45.676, 0, P4, 1590 MHz, 9001 MHz, 28.95 W, [N/A], 175.00 W, 78, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:45.927, 0, P4, 1590 MHz, 9001 MHz, 28.95 W, [N/A], 175.00 W, 78, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:46.178, 0, P4, 180 MHz, 9001 MHz, 25.84 W, [N/A], 175.00 W, 78, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:46.429, 0, P4, 180 MHz, 9001 MHz, 25.84 W, [N/A], 175.00 W, 78, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:46.680, 0, P4, 180 MHz, 9001 MHz, 22.99 W, [N/A], 175.00 W, 78, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:46.931, 0, P4, 180 MHz, 9001 MHz, 22.99 W, [N/A], 175.00 W, 78, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:47.182, 0, P4, 180 MHz, 9001 MHz, 21.63 W, [N/A], 175.00 W, 77, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:47.433, 0, P4, 180 MHz, 9001 MHz, 21.63 W, [N/A], 175.00 W, 77, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:47.684, 0, P4, 180 MHz, 9001 MHz, 21.46 W, [N/A], 175.00 W, 77, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:47.935, 0, P4, 180 MHz, 9001 MHz, 21.46 W, [N/A], 175.00 W, 77, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:48.186, 0, P4, 180 MHz, 9001 MHz, 21.29 W, [N/A], 175.00 W, 77, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:48.438, 0, P4, 180 MHz, 9001 MHz, 21.29 W, [N/A], 175.00 W, 77, 2 MiB, 0 %, 5, 8
2026/09/26 10:05:48.689, 0, P5, 180 MHz, 9001 MHz, 21.29 W, [N/A], 175.00 W, 77, 2 MiB, 0 %, 2, 8
