timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 14:07:29.158, 0, P8, 195 MHz, 405 MHz, 15.80 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:07:29.426, 0, P8, 195 MHz, 405 MHz, 16.04 W, 23, 22 MiB, 0 %, 1, 16
2026/09/19 14:07:29.678, 0, P8, 195 MHz, 405 MHz, 16.04 W, 23, 544 MiB, 0 %, 1, 16
2026/09/19 14:07:29.928, 0, P1, 2572 MHz, 13801 MHz, 27.50 W, 24, 544 MiB, 0 %, 5, 16
2026/09/19 14:07:30.178, 0, P1, 2572 MHz, 13801 MHz, 27.50 W, 24, 1408 MiB, 0 %, 5, 16
2026/09/19 14:07:30.429, 0, P1, 2542 MHz, 13801 MHz, 50.62 W, 25, 1952 MiB, 14 %, 5, 16
2026/09/19 14:07:30.679, 0, P1, 2542 MHz, 13801 MHz, 50.62 W, 25, 2528 MiB, 14 %, 5, 16
2026/09/19 14:07:30.930, 0, P1, 2550 MHz, 13801 MHz, 65.07 W, 25, 3104 MiB, 4 %, 5, 16
2026/09/19 14:07:31.180, 0, P1, 2550 MHz, 13801 MHz, 65.07 W, 25, 3648 MiB, 4 %, 5, 16
2026/09/19 14:07:31.431, 0, P1, 2550 MHz, 13801 MHz, 65.27 W, 25, 4160 MiB, 4 %, 5, 16
2026/09/19 14:07:31.681, 0, P1, 2550 MHz, 13801 MHz, 65.27 W, 25, 4768 MiB, 4 %, 5, 16
2026/09/19 14:07:31.932, 0, P1, 2550 MHz, 13801 MHz, 65.50 W, 25, 5280 MiB, 4 %, 5, 16
2026/09/19 14:07:32.182, 0, P1, 2550 MHz, 13801 MHz, 65.50 W, 25, 5856 MiB, 4 %, 5, 16
2026/09/19 14:07:32.432, 0, P1, 2550 MHz, 13801 MHz, 65.50 W, 25, 6400 MiB, 5 %, 5, 16
2026/09/19 14:07:32.683, 0, P1, 2550 MHz, 13801 MHz, 65.50 W, 25, 6976 MiB, 5 %, 5, 16
2026/09/19 14:07:32.933, 0, P1, 2550 MHz, 13801 MHz, 65.58 W, 25, 7584 MiB, 4 %, 5, 16
2026/09/19 14:07:33.184, 0, P1, 2550 MHz, 13801 MHz, 65.58 W, 25, 8096 MiB, 4 %, 5, 16
2026/09/19 14:07:33.434, 0, P1, 2550 MHz, 13801 MHz, 65.31 W, 25, 8640 MiB, 4 %, 5, 16
2026/09/19 14:07:33.685, 0, P1, 2550 MHz, 13801 MHz, 65.31 W, 25, 9280 MiB, 4 %, 5, 16
2026/09/19 14:07:33.935, 0, P1, 2550 MHz, 13801 MHz, 65.18 W, 25, 9824 MiB, 4 %, 5, 16
2026/09/19 14:07:34.185, 0, P1, 2550 MHz, 13801 MHz, 65.18 W, 25, 10336 MiB, 4 %, 5, 16
2026/09/19 14:07:34.436, 0, P1, 2550 MHz, 13801 MHz, 65.24 W, 25, 10912 MiB, 4 %, 5, 16
2026/09/19 14:07:34.686, 0, P1, 2550 MHz, 13801 MHz, 65.24 W, 25, 11456 MiB, 4 %, 5, 16
2026/09/19 14:07:34.937, 0, P1, 2550 MHz, 13801 MHz, 65.43 W, 25, 11968 MiB, 5 %, 5, 16
2026/09/19 14:07:35.187, 0, P1, 2550 MHz, 13801 MHz, 65.43 W, 25, 12544 MiB, 5 %, 5, 16
2026/09/19 14:07:35.437, 0, P1, 2550 MHz, 13801 MHz, 65.52 W, 25, 13088 MiB, 4 %, 5, 16
2026/09/19 14:07:35.688, 0, P1, 2550 MHz, 13801 MHz, 65.52 W, 25, 13664 MiB, 4 %, 5, 16
2026/09/19 14:07:35.938, 0, P1, 2550 MHz, 13801 MHz, 65.39 W, 25, 14208 MiB, 5 %, 5, 16
2026/09/19 14:07:36.189, 0, P1, 2550 MHz, 13801 MHz, 65.39 W, 25, 15296 MiB, 5 %, 5, 16
2026/09/19 14:07:36.439, 0, P1, 2550 MHz, 13801 MHz, 65.56 W, 25, 15904 MiB, 7 %, 5, 16
2026/09/19 14:07:36.689, 0, P1, 2550 MHz, 13801 MHz, 65.56 W, 25, 15904 MiB, 7 %, 5, 16
2026/09/19 14:07:36.940, 0, P1, 2947 MHz, 13801 MHz, 142.05 W, 27, 15904 MiB, 0 %, 5, 16
2026/09/19 14:07:37.190, 0, P1, 2947 MHz, 13801 MHz, 142.05 W, 27, 15904 MiB, 0 %, 5, 16
2026/09/19 14:07:37.441, 0, P1, 2947 MHz, 13801 MHz, 158.90 W, 26, 15904 MiB, 0 %, 5, 16
2026/09/19 14:07:37.691, 0, P1, 2947 MHz, 13801 MHz, 158.90 W, 26, 2 MiB, 0 %, 5, 16
