Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
51.7,972203196,400,2430508.0,2544312.5,256542,4405752,1182032.2,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
8.4,157263740,1152,136513.7,136654.5,129567,141215,1797.3,qmatvec_nvfp4_mmvq_dual_b4_rpr2
7.5,141974960,3168,44815.3,41663.0,24768,69055,17150.9,qmatvec_nvfp4_mmvq_b4_rpr2w8
3.4,63441156,48,1321690.8,1310900.0,1184885,1618129,114356.8,gdn_chunk_state_f32
2.7,51037689,3168,16110.4,12096.0,9248,32768,8067.6,qmatvec_nvfp4_mmvq_b4_rp
2.0,37887870,1216,31157.8,2719.0,2079,601274,120888.1,silu_mul_f32
2.0,36829750,1088,33850.9,23584.0,7039,63871,17695.3,qmatvec_nvfp4_mmvq_mr2_rp
1.8,32958581,16,2059911.3,1951966.5,1921326,2553065,213004.9,fa_prefill_bf16kv_pp
1.7,32670384,448,72925.0,120927.0,6303,125535,57094.3,qmatvec_nvfp4_mmvq_dual_mr2_rp
1.6,30316175,9111,3327.4,1920.0,1312,188638,14446.5,quantize_q8_1
1.5,28258509,400,70646.3,49728.0,26303,235325,63225.6,"quantize_mmq_q8_1_d4_kernel(const float *, void *, long, long, long, int)"
1.4,26495265,3191,8303.1,5120.0,1536,159453,17764.4,rms_norm_f32
1.4,25448054,48,530167.8,526059.0,498139,571962,17451.4,gdn_chunk_output_f32
1.3,25388859,96,264467.3,258062.0,227934,314365,20146.0,qmatvec_nvfp4_dp4a_rp
1.2,23052337,288,80042.8,79311.0,72415,86367,2810.1,fa_decode_vec_q_rows_v4
1.1,21601251,18,1200069.5,1200277.0,1183702,1207766,5483.8,qmatvec_q5_K_mmvq_b4_r2
1.1,20975896,2436,8610.8,2112.0,1568,149791,27770.8,add_f32
1.0,18107454,48,377238.6,371501.0,351261,423036,18627.2,ssm_conv1d_gdn_state_f32
0.9,17840857,64,278763.4,276237.5,269214,299101,6884.8,memra_f16_cvt_kernel
0.9,16667245,48,347234.3,336797.0,300861,410461,27216.2,gdn_chunk_attn_f32
0.8,14666583,288,50925.6,50944.0,48351,52959,698.7,qmatvec_nvfp4_mmvq_b4_rpr2
0.7,13013063,96,135552.7,136782.5,102687,172927,30138.8,l2_norm_pp_v2_f32
0.7,12436144,48,259086.3,257901.5,255678,266685,2952.3,gdn_chunk_solve32_f32
0.6,10749214,912,11786.4,1792.0,1568,212606,42501.9,gated_rmsnorm_f32
0.5,9530234,1056,9024.8,9696.0,5279,10560,1581.2,gdn_scan_s128
0.3,5219315,5,1043863.0,1036151.0,1033751,1078871,19609.5,qmatvec_q5_K_mmvq_il
0.3,4891889,368,13293.2,1664.0,1536,292798,54421.0,q_gate_split_f32
0.2,4252696,1280,3322.4,1120.0,1024,190814,18744.6,sigmoid_f32
0.2,3538845,368,9616.4,1152.0,1024,209630,39813.1,mul_f32
0.2,3289726,1728,1903.8,1920.0,1728,2016,43.7,l2_norm_f32
0.1,2567462,508,5054.1,5184.0,3744,5952,430.6,add_rms_norm_q8_1
0.1,2036147,864,2356.7,2368.0,2144,2496,52.1,qkv_to_gdn_repack_f32
0.1,2017195,864,2334.7,2304.0,2112,2880,90.3,ssm_conv1d_tm_state_f32
0.1,1970543,1216,1620.5,1632.0,1472,1696,33.8,append_quantize_kv_q8_0_q5_1
0.1,1833264,736,2490.8,1471.5,1216,50943,6282.2,rope_neox_f32
0.1,1813714,288,6297.6,6304.0,5792,6560,129.9,fa_decode_combine_rows
0.1,1380145,912,1513.3,1408.0,1280,4000,477.3,gdn_glog_f32
0.1,1181044,64,18453.8,18496.0,17600,19168,414.1,fa_decode_vec_q_v4_deep
0.1,1147922,912,1258.7,1248.0,1120,1856,91.1,ssm_conv_ring_update_f32
0.0,862935,16,53933.4,50847.5,48480,69152,6806.6,append_quantize_kv_q8_0_q5_1_rows
0.0,507295,256,1981.6,1984.0,1568,2400,162.9,silu_mul_scaled_q8_1
0.0,433116,192,2255.8,2240.0,2048,2560,105.9,ssm_conv1d_fused_decode_f32
0.0,368953,192,1921.6,1920.0,1664,2176,101.1,gdn_prep_decode_f32
0.0,351770,192,1832.1,1824.0,1696,2080,68.6,gated_rmsnorm_q8_1
0.0,274494,64,4289.0,4256.0,4032,4800,167.5,fa_decode_combine_f32
0.0,228192,48,4754.0,4592.0,3616,5888,492.0,gdn_chunk_cumgate_f32
0.0,208288,32,6509.0,6176.0,6048,7968,629.4,f32_to_bf16_bulk
0.0,90015,1,90015.0,90015.0,90015,90015,0.0,embed_gather_u32_t
0.0,14240,4,3560.0,3584.0,3456,3616,75.6,rms_norm_q8_1
