Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
77.9,1140139397,1600,712587.1,742091.0,148095,1042682,318891.2,"void mul_mat_q_nvfp4_f8f4<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
4.8,69769850,192,363384.6,371965.5,324670,378269,16777.8,gdn_chunk_state_f32
2.2,31551600,192,164331.3,164975.0,157503,171903,2764.1,gdn_chunk_output_f32
2.0,29912354,384,77896.8,77903.5,76448,79392,426.1,qmatvec_nvfp4_dp4a_rp
1.8,26425005,256,103222.7,104159.0,93760,110527,3530.0,silu_mul_f32
1.4,20195026,192,105182.4,105151.0,103295,108351,643.4,ssm_conv1d_gdn_f32
1.3,19731705,384,51384.6,50976.0,50208,53024,794.7,l2_norm_f32
1.3,18530801,1600,11581.8,7968.0,6496,24672,6334.4,"quantize_mmq_e4m3_d4_kernel(const float *, void *, long, long, long, int)"
1.1,16621813,644,25810.3,26255.5,8415,31776,6158.0,rms_norm_f32
1.1,15874716,64,248042.4,244479.0,243551,473117,28584.5,fa_prefill_bf16kv_pp
1.0,15128484,192,78794.2,78751.0,78143,80832,346.2,gdn_chunk_attn_f32
1.0,14158468,388,36490.9,36815.5,1952,37759,3527.1,quantize_q8_1
0.8,12375269,192,64454.5,64399.5,62079,67264,1395.4,gdn_chunk_solve32_f32
0.6,9266617,512,18098.9,17888.0,16000,20863,1384.1,add_f32
0.6,8745468,192,45549.3,45536.0,44703,46752,377.5,gated_rmsnorm_f32
0.3,4526851,4,1131712.8,1131033.0,1128121,1136664,4064.3,qmatvec_q5_K_mmvq_il
0.3,4425009,64,69140.8,69183.0,67967,70143,466.4,q_gate_split_f32
0.2,2474765,256,9667.1,1920.0,1696,44352,13504.8,sigmoid_f32
0.1,2004752,64,31324.3,31328.0,30688,31808,189.0,mul_f32
0.1,1105718,128,8638.4,8415.5,3744,14047,4695.4,rope_neox_f32
0.0,539038,192,2807.5,2816.0,2496,3200,113.1,gdn_chunk_cumgate_f32
0.0,512156,128,4001.2,3664.0,3007,5536,853.2,f32_to_bf16_bulk
0.0,404894,192,2108.8,2112.0,1856,2432,93.8,gdn_glog_f32
0.0,106240,4,26560.0,26592.0,26304,26752,202.4,embed_gather_u32_t
